"reflo","locx","locy"
"-0.12","-0.2",12
"-1.1.","-1.6",1.5
"-1.8.","-1.6",8.3
"-11","-1",1
"-110","-1.1",10.1
"-113","-1",13.3
"-114","-1.1",14.5
"-14","-1",4
"-19","-1.1",8.9
"-2.1","-2.4",10
"-2.11","-2.5",11
"-2.12","-2",12.2
"-2.13","-2.5",12.9
"-2.4.","-2.5",4.4
"-2.5","-2.5",5.1
"-2.8","-2.8",8
"-211","-2.1",11
"-212","-2",12.2
"-213","-2",13.1
"-214","-2.4",13.9
"-215","-2",15
"-27","-2.1",6.6
"-3.2","-3.3",2
"-30","-3.5",0
"-310","-3",11
"-312","-3",12.2
"-313","-3",13
"-32","-2.8",2
"-35","-3",5.4
"-36","-3",6.5
"-38","-3.3",8
"-4.1","-4.6",10
"-4.13","-4.3",13.2
"-4.2.","-4.7",2.8
"-410","-4.5",10.5
"-413","-4.1",13.3
"-414","-4.4",14
"-43","-4",3.5
"-5.11.","-5.5",11.5
"-5.5.","-5.4",5.2
"-5.6","-5.4",6
"-512","-4.9",11.8
"-513","-5.2",12.9
"-515","-5.1",15.4
"-53","-5",3.2
"-55","-5",5
"-59","-5.3",9.1
"-6.10.","-6.7",10.8
"-6.12.","-6.4",12.4
"-6.5","-6.5",6.2
"-6.6.","-6.4",6.5
"-6.8","-6.5",8
"-6.9","-6.6",9
"-610","-6.2",10.2
"-611","-6",11.4
"-612","-6.3",12.1
"-613","-6.2",13.3
"-63","-6.2",3.1
"-65","-6",5
"-66","-6.2",6.2
"-7.12","-7.7",12.7
"-7.12.","-7.6",12.6
"-7.5","-7.6",5
"-7.6","-7.5",6.1
"-7.9","-7.6",9.1
"-711","-7.1",11.1
"-712","-7",12
"-713","-7.4",13.4
"-73","-7",3.1
"-75","-7",5
"-77","-7.2",6.6
"-79","-7",9
"-8.11","-8.5",11
"-8.12","-8.5",12.1
"-8.12.","-8.8",12.8
"-811","-8",11.2
"-812","-8",12.1
"0.1","0.4",10
"0.1.","0.5",0.5
"0.11","0.7",11
"0.12","0.1",12.1
"0.13.","0.4",13.6
"0.2.","0.3",2.6
"0.5.","0.5",6.6
"0.6.","0.5",6.6
"014","0.2",14
"05","0",5
"05.","0",5.5
"08","-0.3",8
"A.11.","A.7",11.5
"A.12","A.5",12
"A.13.","A.8",13.3
"A.14.","A.6",14.4
"A.3.","A.3",3.5
"A.5.","A.5",5.5
"A.7","A.4",7
"A.8.","A.5",8.5
"A10","A.0",10
"A10.","A.0",10.7
"A14","A.0",14
"A15.","A.0",15.4
"A3.","A.0",3.4
"A5.","A.0",5.4
"A8","A.0",8.1
"B.10.","B.6",10.6
"B.5.","B.4",5.5
"B.7","B.8",6.9
"B.8","B.7",8
"B11.","B.0",11.6
"B13","B.0",13
"B15.","B.1",15.4
"B2","B.0",2
"B4.","B.0",4.6
"B7.","A.9",7.3
"C.0.","C.5",0.6
"C.1","C.5",1.5
"C.17","C.5",17
"C.19","C.5",19
"C.5","C.5",5
"C.9","C.5",9.2
"C12","C.1",12.1
"C13","C.0",13
"C17","C.0",15.5
"C2.","C.0",2.6
"C4.","B.9",4.5
"C5","C.0",5
"C6","C.1",6.1
"C8.","C.0",8.6
"D.5.","D.5",5.4
"D.8.","D.7",8.4
"D15","D.8",15
"D17.","D.2",17.5
"D4","D.0",4
"D7","D.2",7
"E.2.","E.8",2.8
"E.20","E.0",20
"E.5","E.3",4.8
"E.6","E.0",6
"E1","E.0",1.1
"E11","D.9",10.9
"E13","E.0",13
"E14.","E.0",14.6
"E15","E.0",14.8
