"squirrel_id","sex","date","repro_stage","detail","grid","locx_obs","locy_obs","food_type","year","year_type","locx_census","locy_census"
12565,"M","2013-03-06","mating",2,"KL","-3.0","10.0","capital","2013","non-mast","-3.0","10.0"
10046,"F","2013-03-11","mating",4,"KL","0.9","3.2","income","2013","non-mast","A.0","3.5"
10046,"F","2013-03-11","mating",4,"KL","0.9","3.2","income","2013","non-mast","0.5","2.5"
10046,"F","2013-03-12","mating",2,"KL","1.2","3.2","capital","2013","non-mast","A.0","3.5"
10046,"F","2013-03-12","mating",2,"KL","1.2","3.2","capital","2013","non-mast","0.5","2.5"
11775,"F","2013-03-11","mating",2,"KL","2.5","5.5","capital","2013","non-mast","B.5","5.5"
12522,"M","2013-03-12","mating",2,"SU","5.1","3.4","capital","2013","non-mast","E.0","3.5"
12363,"M","2013-03-14","mating",4,"KL","7.9","14.9","income","2013","non-mast","H.0","15.0"
11957,"M","2013-03-12","mating",2,"KL","13.8","12.7","capital","2013","non-mast","M.5","12.5"
10531,"M","2013-03-16","mating",2,"KL","6.1","6.4","capital","2013","non-mast","F.0","6.5"
12657,"M","2013-03-16","mating",2,"KL","11.0","6.0","capital","2013","non-mast","K.0","6.0"
12657,"M","2013-03-17","mating",2,"KL","11.0","6.0","capital","2013","non-mast","K.0","6.0"
11945,"M","2013-03-17","mating",4,"KL","14.0","1.0","income","2013","non-mast","N.0","1.5"
12017,"M","2013-03-17","mating",4,"KL","5.0","1.1","income","2013","non-mast","E.0","1.0"
10046,"F","2013-03-17","mating",2,"KL","3.0","2.3","capital","2013","non-mast","A.0","3.5"
10046,"F","2013-03-17","mating",2,"KL","3.0","2.3","capital","2013","non-mast","0.5","2.5"
12445,"M","2013-03-18","mating",2,"KL","9.0","5.0","capital","2013","non-mast","I.0","5.0"
13535,"F","2013-03-18","mating",4,"KL","10.0","1.2","income","2013","non-mast","J.0","1.0"
11537,"F","2013-03-18","mating",2,"KL","14.6","2.4","capital","2013","non-mast","O.5","2.5"
11619,"F","2013-03-19","mating",2,"KL","-3.1","7.9","capital","2013","non-mast","-3.0","8.0"
11896,"F","2013-03-22","mating",3,"KL","15.4","2.0","income","2013","non-mast","O.5","2.0"
13287,"M","2013-03-22","mating",3,"KL","11.0","0.3","income","2013","non-mast","H.0","1.0"
12422,"F","2013-03-24","mating",3,"KL","4.5","7.0","income","2013","non-mast","D.0","7.0"
12017,"M","2013-03-24","mating",2,"KL","5.0","1.1","capital","2013","non-mast","E.0","1.0"
12422,"F","2013-03-24","mating",2,"KL","4.2","7.0","capital","2013","non-mast","D.0","7.0"
10993,"F","2013-03-24","mating",2,"KL","11.6","0.8","capital","2013","non-mast","K.5","0.5"
10993,"F","2013-03-24","mating",2,"KL","11.6","0.8","capital","2013","non-mast","L.5","0.5"
12445,"M","2013-03-03","mating",4,"KL","8.1","3.2","income","2013","non-mast","I.0","5.0"
12678,"M","2013-04-08","mating",4,"KL","2.8","10.6","income","2013","non-mast","B.5","10.5"
11266,"M","2013-04-08","mating",2,"KL","7.0","10.5","capital","2013","non-mast","G.0","10.5"
12236,"M","2013-04-08","mating",2,"KL","4.9","11.0","capital","2013","non-mast","E.0","11.0"
12705,"M","2013-04-08","mating",4,"KL","8.1","12.2","income","2013","non-mast","E.0","14.5"
12705,"M","2013-04-08","mating",4,"KL","8.1","12.2","income","2013","non-mast","H.0","12.0"
12908,"M","2013-04-08","mating",4,"KL","3.6","19.1","income","2013","non-mast","C.5","19.0"
12209,"M","2013-04-08","mating",2,"KL","-7.2","11.0","capital","2013","non-mast","-7.0","11.0"
12565,"M","2013-04-08","mating",2,"KL","-3.1","10.2","capital","2013","non-mast","-3.0","10.0"
12445,"M","2013-03-27","mating",4,"KL","9.2","5.2","income","2013","non-mast","I.0","5.0"
13179,"M","2013-03-29","mating",2,"KL","14.1","8.4","capital","2013","non-mast","N.0","8.5"
13039,"M","2013-03-27","mating",4,"KL","7.0","3.5","income","2013","non-mast","G.0","3.5"
13048,"M","2013-03-29","mating",2,"KL","3.3","2.5","capital","2013","non-mast","C.0","2.5"
12542,"M","2013-04-01","mating",2,"KL","13.8","14.9","capital","2013","non-mast","L.5","15.0"
12542,"M","2013-04-01","mating",2,"KL","13.8","14.9","capital","2013","non-mast","M.5","15.0"
10047,"M","2013-03-29","mating",2,"KL","2.2","15.7","capital","2013","non-mast","B.0","15.5"
11460,"M","2013-03-29","mating",2,"KL","8.6","3.4","capital","2013","non-mast","H.5","3.5"
12657,"M","2013-03-29","mating",2,"KL","11.1","5.9","capital","2013","non-mast","K.0","6.0"
12825,"M","2013-04-01","mating",4,"KL","6.9","5.2","income","2013","non-mast","G.0","5.0"
11460,"M","2013-04-01","mating",2,"KL","8.5","3.1","capital","2013","non-mast","H.5","3.5"
12445,"M","2013-04-01","mating",2,"KL","9.3","5.4","capital","2013","non-mast","I.0","5.0"
13048,"M","2013-03-29","mating",2,"KL","3.3","2.3","capital","2013","non-mast","C.0","2.5"
12657,"M","2013-04-01","mating",2,"KL","11.1","5.9","capital","2013","non-mast","K.0","6.0"
12236,"M","2013-03-29","mating",2,"KL","5.0","10.9","capital","2013","non-mast","E.0","11.0"
12209,"M","2013-04-01","mating",2,"KL","-7.1","11.1","capital","2013","non-mast","-7.0","11.0"
11266,"M","2013-03-29","mating",2,"KL","7.2","10.6","capital","2013","non-mast","G.0","10.5"
12565,"M","2013-04-01","mating",2,"KL","-3.2","10.1","capital","2013","non-mast","-3.0","10.0"
12542,"M","2013-03-29","mating",2,"KL","13.5","15.2","capital","2013","non-mast","L.5","15.0"
12542,"M","2013-03-29","mating",2,"KL","13.5","15.2","capital","2013","non-mast","M.5","15.0"
11983,"M","2013-03-29","mating",2,"KL","10.5","19.0","capital","2013","non-mast","J.5","19.0"
12825,"M","2013-04-03","mating",2,"KL","6.9","5.1","capital","2013","non-mast","G.0","5.0"
12705,"M","2013-03-29","mating",4,"KL","8.1","12.2","income","2013","non-mast","E.0","14.5"
12705,"M","2013-03-29","mating",4,"KL","8.1","12.2","income","2013","non-mast","H.0","12.0"
13048,"M","2013-04-06","mating",4,"KL","3.1","2.7","income","2013","non-mast","C.0","2.5"
10047,"M","2013-04-05","mating",4,"KL","2.2","15.4","income","2013","non-mast","B.0","15.5"
12364,"M","2013-04-06","mating",2,"KL","10.0","10.6","capital","2013","non-mast","J.0","11.0"
13039,"M","2013-04-06","mating",2,"KL","7.1","3.6","capital","2013","non-mast","G.0","3.5"
12445,"M","2013-04-06","mating",2,"KL","9.3","4.9","capital","2013","non-mast","I.0","5.0"
12363,"M","2013-04-06","mating",2,"KL","7.9","14.9","capital","2013","non-mast","H.0","15.0"
13125,"M","2013-04-06","mating",2,"KL","12.0","17.0","capital","2013","non-mast","K.5","17.0"
13125,"M","2013-04-06","mating",2,"KL","12.0","17.0","capital","2013","non-mast","L.5","17.0"
12542,"M","2013-04-06","mating",2,"KL","13.5","15.0","capital","2013","non-mast","L.5","15.0"
12542,"M","2013-04-06","mating",2,"KL","13.5","15.0","capital","2013","non-mast","M.5","15.0"
13179,"M","2013-04-06","mating",4,"KL","14.2","8.7","income","2013","non-mast","N.0","8.5"
11266,"M","2013-04-05","mating",4,"KL","6.7","10.7","income","2013","non-mast","G.0","10.5"
12007,"M","2013-04-07","mating",2,"KL","3.0","12.9","capital","2013","non-mast","C.0","13.0"
12908,"M","2013-04-07","mating",2,"KL","3.7","18.8","capital","2013","non-mast","C.5","19.0"
12705,"M","2013-04-07","mating",2,"KL","8.0","12.0","capital","2013","non-mast","E.0","14.5"
12705,"M","2013-04-07","mating",2,"KL","8.0","12.0","capital","2013","non-mast","H.0","12.0"
13048,"M","2013-04-12","mating",2,"KL","3.2","2.3","capital","2013","non-mast","C.0","2.5"
13039,"M","2013-04-12","mating",4,"KL","7.0","3.5","income","2013","non-mast","G.0","3.5"
13039,"M","2013-03-18","mating",4,"KL","7.1","3.3","income","2013","non-mast","G.0","3.5"
