"year","year_type","date","repro_stage","squirrel_id","sex","grid","locx","locy","detail","food_type"
2013,"non-mast","2013-03-06","mating",12565,"M","KL","-3.0","10.0",2,"capital"
2013,"non-mast","2013-03-10","mating",10351,"M","JO","16.2","11.7",4,"capital"
2013,"non-mast","2013-03-10","mating",10593,"F","JO","16.8","8.2",4,"capital"
2013,"non-mast","2013-03-11","mating",10046,"F","KL","0.9","3.2",4,"capital"
2013,"non-mast","2013-03-12","mating",10046,"F","KL","1.2","3.2",2,"capital"
2013,"non-mast","2013-03-11","mating",11775,"F","KL","2.5","5.5",2,"capital"
2013,"non-mast","2013-03-10","mating",11905,"F","JO","1.0","0.1",4,"capital"
2013,"non-mast","2013-03-12","mating",12522,"M","SU","5.1","3.4",2,"capital"
2013,"non-mast","2013-03-14","mating",12363,"M","KL","7.9","14.9",4,"capital"
2013,"non-mast","2013-03-16","mating",11815,"F","JO","8.8","5.1",4,"capital"
2013,"non-mast","2013-03-16","mating",11872,"F","JO","8.8","12.1",2,"capital"
2013,"non-mast","2013-03-16","mating",11729,"F","JO","9.7","0.5",4,"capital"
2013,"non-mast","2013-03-10","mating",11872,"F","JO","8.9","12.0",2,"capital"
2013,"non-mast","2013-03-12","mating",11957,"M","KL","13.8","12.7",2,"capital"
2013,"non-mast","2013-03-16","mating",10531,"M","KL","6.1","6.4",2,"capital"
2013,"non-mast","2013-03-16","mating",12657,"M","KL","11.0","6.0",2,"capital"
2013,"non-mast","2013-03-17","mating",12657,"M","KL","11.0","6.0",2,"capital"
2013,"non-mast","2013-03-17","mating",11945,"M","KL","14.0","1.0",4,"capital"
2013,"non-mast","2013-03-17","mating",12017,"M","KL","5.0","1.1",4,"capital"
2013,"non-mast","2013-03-17","mating",10046,"F","KL","3.0","2.3",2,"capital"
2013,"non-mast","2013-03-18","mating",12445,"M","KL","9.0","5.0",2,"capital"
2013,"non-mast","2013-03-18","mating",13535,"F","KL","10.0","1.2",4,"capital"
2013,"non-mast","2013-03-18","mating",11537,"F","KL","14.6","2.4",2,"capital"
2013,"non-mast","2013-03-19","mating",11619,"F","KL","-3.1","7.9",2,"capital"
2013,"non-mast","2013-03-19","mating",11872,"F","JO","9.1","12.2",2,"capital"
2013,"non-mast","2013-03-17","mating",11459,"M","JO","5.3","1.7",2,"capital"
2013,"non-mast","2013-03-17","mating",11905,"F","JO","0.9","0.6",2,"capital"
2013,"non-mast","2013-03-18","mating",11905,"F","JO","1.0","0.8",4,"capital"
2013,"non-mast","2013-03-18","mating",11306,"F","JO","2.0","3.8",4,"capital"
2013,"non-mast","2013-03-18","mating",11306,"F","JO","2.1","3.3",4,"capital"
2013,"non-mast","2013-03-20","mating",11049,"F","JO","3.9","17.0",2,"capital"
2013,"non-mast","2013-03-22","mating",11896,"F","KL","15.4","2.0",3,"income"
2013,"non-mast","2013-03-22","mating",13287,"M","KL","11.0","0.3",3,"income"
2013,"non-mast","2013-03-23","mating",13206,"F","JO","14.0","12.5",2,"capital"
2013,"non-mast","2013-03-23","mating",11966,"F","JO","12.1","9.3",2,"capital"
2013,"non-mast","2013-03-23","mating",11863,"M","JO","9.0","1.3",2,"capital"
2013,"non-mast","2013-03-24","mating",12422,"F","KL","4.5","7.0",3,"income"
2013,"non-mast","2013-03-24","mating",12017,"M","KL","5.0","1.1",2,"capital"
2013,"non-mast","2013-03-24","mating",12422,"F","KL","4.2","7.0",2,"capital"
2013,"non-mast","2013-03-24","mating",10993,"F","KL","11.6","0.8",2,"capital"
2013,"non-mast","2013-03-03","mating",12445,"M","KL","8.1","3.2",4,"capital"
2013,"non-mast","2013-04-08","mating",12678,"M","KL","2.8","10.6",4,"capital"
2013,"non-mast","2013-04-08","mating",12036,"M","KL","4.6","14.6",2,"capital"
2013,"non-mast","2013-04-08","mating",12036,"M","KL","4.7","14.6",2,"capital"
2013,"non-mast","2013-04-08","mating",11266,"M","KL","7.0","10.5",2,"capital"
2013,"non-mast","2013-04-08","mating",12236,"M","KL","4.9","11.0",2,"capital"
2013,"non-mast","2013-04-08","mating",12705,"M","KL","8.1","12.2",4,"capital"
2013,"non-mast","2013-04-08","mating",12908,"M","KL","3.6","19.1",4,"capital"
2013,"non-mast","2013-04-08","mating",12209,"M","KL","-7.2","11.0",2,"capital"
2013,"non-mast","2013-04-08","mating",12565,"M","KL","-3.1","10.2",2,"capital"
2013,"non-mast","2013-03-27","mating",12445,"M","KL","9.2","5.2",4,"capital"
2013,"non-mast","2013-03-29","mating",13179,"M","KL","14.1","8.4",2,"capital"
