"census_date","gr","squirrel_id","reflo","locx","locy"
2013-05-15,"SU",10654,"E.1.","E.5","1.5"
2013-05-15,"SU",11002,"D.17.","D.5","17.5"
2013-05-15,"SU",11576,"C.4","C.5","4.0"
2013-05-15,"SU",11578,"G.14.","G.5","14.5"
2013-05-15,"KL",12678,"B.10.","B.5","10.5"
2013-05-15,"KL",12908,"C.19","C.5","19.0"
2013-05-15,"KL",11983,"J.19","J.5","19.0"
2013-05-15,"KL",13125,"K.17","K.5","17.0"
2013-05-15,"KL",13125,"L.17","L.5","17.0"
2013-05-15,"KL",12542,"L.15","L.5","15.0"
2013-05-15,"KL",12542,"M.15","M.5","15.0"
2013-05-15,"KL",11460,"H.3.","H.5","3.5"
2013-05-15,"SU",11976,"B.1","B.5","1.0"
2013-05-15,"SU",11976,"C.1","C.5","1.0"
2013-05-15,"SU",11979,"K.8.","K.5","8.5"
2013-05-15,"SU",11981,"R.2","R.5","2.0"
2013-05-15,"KL",12008,"F.21","F.5","21.0"
2013-05-15,"KL",12513,"J.9","J.5","9.0"
2013-05-15,"KL",13084,"O.4","O.5","4.0"
2013-05-15,"KL",10342,"G.2","G.5","2.0"
2013-05-15,"KL",12136,"I.16","I.5","16.0"
2013-05-15,"KL",12202,"G.18","G.5","18.0"
2013-05-15,"KL",12625,"M.8","M.5","8.0"
2013-05-15,"KL",11896,"O.2","O.5","2.0"
2013-05-15,"KL",11775,"B.5.","B.5","5.5"
2013-05-15,"KL",13010,"C.0.","C.5","0.5"
2013-05-15,"KL",11256,"D.5.","D.5","5.5"
2013-05-15,"KL",10995,"I.2","I.5","2.0"
2013-05-15,"KL",11883,"I.20.","I.5","20.5"
2013-05-15,"KL",11344,"J.20.","J.5","20.5"
2013-05-15,"KL",10993,"K.0.","K.5","0.5"
2013-05-15,"KL",13499,"L.1","L.5","1.0"
2013-05-15,"KL",12745,"C.17","C.5","17.0"
2013-05-15,"KL",11957,"M.12.","M.5","12.5"
2013-05-15,"KL",11537,"O.2.","O.5","2.5"
2013-05-15,"SU",11534,"B.3","B.5","3.0"
2013-05-15,"SU",11577,"B.10.","B.5","10.5"
2013-05-15,"SU",11999,"T.7.","T.5","7.5"
2013-05-15,"SU",10878,"C.6.","C.5","6.5"
2013-05-15,"SU",12024,"A.15.","A.5","15.5"
2013-05-15,"SU",12025,"J.10.","J.5","10.5"
2013-05-15,"SU",12033,"H.7.","H.5","7.5"
2013-05-15,"SU",12140,"Q.6","Q.5","6.0"
2013-05-15,"SU",12180,"K.15","K.5","15.0"
2013-05-15,"SU",12191,"G.16","G.5","16.0"
2013-05-15,"SU",12435,"H.12","H.5","12.0"
2013-05-15,"SU",12524,"H.10.","H.5","10.5"
2013-05-15,"SU",13085,"I.6","I.5","6.0"
2013-05-15,"SU",13085,"H.5","H.5","5.0"
2013-05-15,"SU",13097,"H.9.","H.5","9.5"
2013-05-15,"SU",13131,"K.1","K.5","1.0"
2013-05-15,"SU",11577,"B.9.","B.5","9.5"
2013-05-15,"SU",11434,"B.8.","B.5","8.5"
2013-05-15,"SU",13385,"L.12","L.5","12.0"
2013-05-15,"SU",13135,"U.7","U.5","7.0"
2013-05-15,"SU",11576,"C.5","C.5","5.0"
2013-05-15,"SU",12432,"N.11","N.5","11.0"
2013-05-15,"SU",10048,"E.6","E.5","6.0"
2013-05-15,"SU",11531,"U.2.","U.5","2.5"
2013-05-15,"KL",11895,"N.6.","N.5","6.5"
2013-05-15,"KL",10993,"L.0.","L.5","0.5"
2013-05-15,"SU",11578,"F.16","F.5","16.0"
2012-05-15,"KL",10342,"G.1.","G.5","1.5"
2012-05-15,"KL",10374,"M.9.","M.5","9.5"
2012-05-15,"KL",10993,"K.0.","K.5","0.5"
2012-05-15,"KL",10994,"L.1","L.5","1.0"
2012-05-15,"KL",10995,"I.2","I.5","2.0"
2012-05-15,"KL",11256,"D.5.","D.5","5.5"
2012-05-15,"KL",11266,"G.10.","G.5","10.5"
2012-05-15,"KL",11344,"J.20.","J.5","20.5"
2012-05-15,"KL",11460,"H.3.","H.5","3.5"
2012-05-15,"KL",11489,"N.2.","N.5","2.5"
2012-05-15,"KL",11537,"O.2.","O.5","2.5"
2012-05-15,"KL",11622,"A.3.","A.5","3.5"
2012-05-15,"KL",11775,"B.5.","B.5","5.5"
2012-05-15,"KL",11883,"I.20.","I.5","20.5"
2012-05-15,"KL",11895,"O.7.","O.5","7.5"
2012-05-15,"KL",11896,"O.2","O.5","2.0"
2012-05-15,"KL",11957,"M.12.","M.5","12.5"
2012-05-15,"KL",11983,"J.19","J.5","19.0"
2012-05-15,"KL",12008,"F.21","F.5","21.0"
2012-05-15,"KL",12013,"G.18","G.5","18.0"
2012-05-15,"KL",12136,"I.15.","I.5","15.5"
2012-05-15,"KL",12239,"C.17","C.5","17.0"
2012-05-15,"KL",12240,"M.15","M.5","15.0"
2012-05-15,"KL",12513,"J.9","J.5","9.0"
2012-05-15,"KL",12542,"L.15","L.5","15.0"
2012-05-15,"KL",12678,"B.10.","B.5","10.5"
2012-05-15,"KL",12908,"C.19","C.5","19.0"
2012-05-15,"KL",13009,"F.1","F.5","1.0"
2012-05-15,"KL",13009,"F.0.","F.5","0.5"
2012-05-15,"KL",13010,"C.1","C.5","1.0"
2012-05-15,"KL",13084,"L.3.","L.5","3.5"
2012-05-15,"KL",13111,"L.3.","L.5","3.5"
2012-05-15,"KL",13125,"K.17","K.5","17.0"
2012-05-15,"SU",10048,"E.6","E.5","6.0"
2012-05-15,"SU",10191,"I.6","I.5","6.0"
2012-05-15,"SU",10654,"E.1.","E.5","1.5"
2012-05-15,"SU",10878,"C.6.","C.5","6.5"
2012-05-15,"SU",11002,"D.17.","D.5","17.5"
2012-05-15,"SU",11078,"K.1","K.5","1.0"
2012-05-15,"SU",11531,"U.2.","U.5","2.5"
2012-05-15,"SU",11534,"B.3","B.5","3.0"
2012-05-15,"SU",11576,"C.4","C.5","4.0"
2012-05-15,"SU",11576,"C.5","C.5","5.0"
2012-05-15,"SU",11577,"B.10.","B.5","10.5"
2012-05-15,"SU",11578,"G.14.","G.5","14.5"
2012-05-15,"SU",11944,"Q.6","Q.5","6.0"
2012-05-15,"SU",11976,"B.1","B.5","1.0"
2012-05-15,"SU",11976,"C.1","C.5","1.0"
2012-05-15,"SU",11979,"K.8","K.5","8.0"
2012-05-15,"SU",11999,"T.7.","T.5","7.5"
2012-05-15,"SU",12000,"H.12","H.5","12.0"
2012-05-15,"SU",12024,"A.15.","A.5","15.5"
2012-05-15,"SU",12025,"J.10.","J.5","10.5"
2012-05-15,"SU",12180,"K.15","K.5","15.0"
2012-05-15,"SU",12191,"G.16","G.5","16.0"
2012-05-15,"SU",12193,"U.2.","U.5","2.5"
2012-05-15,"SU",12301,"F.16","F.5","16.0"
2012-05-15,"SU",12435,"N.11","N.5","11.0"
2012-05-15,"SU",12523,"J.4","J.5","4.0"
2012-05-15,"SU",12524,"H.9.","H.5","9.5"
2012-05-15,"SU",13085,"H.5","H.5","5.0"
2012-05-15,"SU",13097,"H.7.","H.5","7.5"
2012-05-15,"SU",13128,"L.12","L.5","12.0"
2012-05-15,"SU",13130,"H4","H.0","4.0"
2012-05-15,"SU",13135,"U.7","U.5","7.0"
2012-05-15,"SU",13237,"B.12.","B.5","12.5"
2014-05-15,"SU",13385,"L.12","L.5","12.0"
2014-05-15,"SU",11534,"B.3","B.5","3.0"
2014-05-15,"SU",11576,"C.5","C.5","5.0"
2014-05-15,"SU",13131,"K.1","K.5","1.0"
2014-05-15,"SU",19742,"B.9.","B.5","9.5"
2014-05-15,"SU",13097,"H.10.","H.5","10.5"
2014-05-15,"SU",10048,"E.6","E.5","6.0"
2014-05-15,"SU",11002,"D.17.","D.5","17.5"
2014-05-15,"SU",11577,"B.10.","B.5","10.5"
2014-05-15,"SU",12524,"J.10.","J.5","10.5"
2014-05-15,"SU",11979,"K.8","K.5","8.0"
2014-05-15,"SU",12180,"K.15","K.5","15.0"
2014-05-15,"SU",11976,"B.1","B.5","1.0"
2014-05-15,"SU",11981,"R.2","R.5","2.0"
