"year","year_type","date","repro_stage","squirrel_id","sex","grid","locx_feed","locy_feed","detail","food_type","locx_census","locy_census","locx_census_numeric","locx_feed_numeric","buffer_radius","midden_radius","distance_to_midden","within_territory","within_midden"
2013,"non-mast","2013-03-06","mating",12565,"M","KL","-3.0","10.0",2,"capital","-3.0",10,-3,-3,1.73333333333333,0.333333333333333,0,TRUE,TRUE
2013,"non-mast","2013-03-10","mating",10593,"F","JO","16.8","8.2",4,"capital","P.8",8,16.8,16.8,1.73333333333333,0.333333333333333,5.99999999999998,TRUE,TRUE
2013,"non-mast","2013-03-10","mating",10593,"F","JO","16.8","8.2",4,"capital","P.4",7.9,16.4,16.8,1.73333333333333,0.333333333333333,15,TRUE,FALSE
2013,"non-mast","2013-03-11","mating",10046,"F","KL","0.9","3.2",4,"capital","0.4",2.6,0.4,0.9,1.73333333333333,0.333333333333333,23.43074902772,TRUE,FALSE
2013,"non-mast","2013-03-11","mating",10046,"F","KL","0.9","3.2",4,"capital","A.0",3.3,1,0.9,1.73333333333333,0.333333333333333,4.24264068711928,TRUE,TRUE
2013,"non-mast","2013-03-12","mating",10046,"F","KL","1.2","3.2",2,"capital","0.4",2.6,0.4,1.2,1.73333333333333,0.333333333333333,30,TRUE,FALSE
2013,"non-mast","2013-03-12","mating",10046,"F","KL","1.2","3.2",2,"capital","A.0",3.3,1,1.2,1.73333333333333,0.333333333333333,6.70820393249936,TRUE,TRUE
2013,"non-mast","2013-03-11","mating",11775,"F","KL","2.5","5.5",2,"capital","B.4",5.5,2.4,2.5,1.73333333333333,0.333333333333333,3,TRUE,TRUE
2013,"non-mast","2013-03-10","mating",11905,"F","JO","1.0","0.1",4,"capital","A.0",0.7,1,1,1.73333333333333,0.333333333333333,18,TRUE,FALSE
2013,"non-mast","2013-03-10","mating",11905,"F","JO","1.0","0.1",4,"capital","A.7",0,1.7,1,1.73333333333333,0.333333333333333,21.2132034355964,TRUE,FALSE
2013,"non-mast","2013-03-12","mating",12522,"M","SU","5.1","3.4",2,"capital","E.1",3.4,5.1,5.1,1.73333333333333,0.333333333333333,0,TRUE,TRUE
2013,"non-mast","2013-03-14","mating",12363,"M","KL","7.9","14.9",4,"capital","H.0",15,8,7.9,1.73333333333333,0.333333333333333,4.24264068711927,TRUE,TRUE
2013,"non-mast","2013-03-16","mating",11815,"F","JO","8.8","5.1",4,"capital","H.8",5.1,8.8,8.8,1.73333333333333,0.333333333333333,0,TRUE,TRUE
