grid,stake,geometry
BT,-1,658148.683915768|6763040.53984536
BT,0,658116.815435331|6763038.002406
BT,1,658125.261768041|6763067.37685819
BT,A0,658092.570390069|6763034.69006995
BT,A1,658095.115790714|6763062.68588501
BT,A2,658105.085824619|6763094.35884606
BT,A3,658112.599125505|6763120.34577092
BT,A4,658124.340710086|6763148.75198565
BT,B0,658063.55056655|6763041.20252117
BT,B1,658068.701784745|6763071.54512149
BT,B2,658076.314721957|6763095.30581496
BT,B3,658086.533091625|6763121.41334947
BT,B4,658091.683929088|6763151.75598934
BT,C0,658028.525349527|6763060.83084702
BT,C1,657974.566259619|6763079.61534338
BT,C2,658044.783998411|6763109.51340313
BT,C3,658053.280333392|6763137.7746045
BT,C4,658065.463968589|6763168.43089903
BT,D0,658000.93525828|6763059.60053296
BT,D1,658011.744910549|6763084.61888847
BT,D2,658021.373169388|6763111.81518007
BT,D3,658025.98360952|6763142.13359152
BT,D4,658037.184813501|6763170.51538386
BT,D5,658049.959052182|6763200.08267782
BT,E0,657977.176786289|6763069.69413344
BT,E1,657987.395959507|6763095.80137071
BT,E2,657992.349176642|6763130.59615627
BT,E3,657998.240280647|6763156.51046787
BT,E4,658007.530982715|6763166.96234734
BT,E5,658024.280596071|6763216.78201478
BT,F0,657948.549643679|6763079.5708644
BT,F1,657958.421658619|6763113.46954828
BT,F2,657966.725033745|6763133.91488584
BT,F3,657974.874528425|6763169.96742355
BT,F4,657986.716238391|6763196.14701899
BT,F5,657995.560171154|6763216.61655016
BT,F6,658004.597500586|6763244.90175665
BT,G0,657923.511085381|6763094.06889716
BT,G1,657933.631333549|6763122.40212814
BT,G2,657938.490554629|6763147.15503497
BT,G3,657946.689903224|6763182.09442857
BT,G4,657955.727729819|6763210.3795032
BT,G5,657971.107974872|6763242.29323566
BT,G6,657975.917061936|6763268.15927783
BT,G7,657981.167749003|6763296.27559879
BT,G8,657989.912140803|6763318.97127218
BT,H0,657891.196673049|6763101.55116669
BT,H1,657900.47857144|6763136.53865474
BT,H2,657907.35304755|6763164.72717279
BT,H3,657917.031414391|6763190.81009822
BT,H4,657928.183663215|6763220.30461386
BT,H5,657942.040469333|6763249.91973227
BT,H6,657945.916702852|6763272.39827633
BT,H7,657953.579496414|6763295.04562838
BT,H8,657954.304277563|6763327.42129548
BT,I0,657863.652004597|6763111.47678698
BT,I1,657871.707959636|6763137.48727891
BT,I2,657880.890726358|6763174.70086902
BT,I3,657888.455004321|6763199.57422357
BT,I4,657896.853067898|6763230.06119138
BT,I5,657913.955790236|6763259.82083602
BT,I6,657917.092800217|6763286.72754359
BT,I7,657925.192669639|6763323.89304579
BT,I8,657940.329349757|6763349.1040809
BT,J0,657836.107499363|6763121.40261928
BT,J1,657840.277678775|6763149.470517
BT,J2,657850.299201583|6763180.02965871
BT,J3,657855.010112906|6763208.12167655
BT,J4,657865.572249133|6763238.70496664
