"year","year_type","grid","squirrel_id","sex","cache_size_new","total_cones","log_cache_size_new","log_total_cones"
2010,"mast","KL",8331,"F",345.329754968816,1871.957,5.84739137023765,7.53527374435888
2008,"non-mast","KL",8518,"F",0,43.465,0,3.7947023628516
2008,"non-mast","KL",8592,"F",788.58884343625,43.465,6.67151235863274,3.7947023628516
2008,"non-mast","KL",8680,"M",0,43.465,0,3.7947023628516
2008,"non-mast","KL",8722,"M",0,43.465,0,3.7947023628516
2008,"non-mast","KL",8727,"F",8253.55294960293,43.465,9.01852019978215,3.7947023628516
2008,"non-mast","KL",8728,"M",1591.44029935364,43.465,7.37302289811167,3.7947023628516
2008,"non-mast","KL",8729,"M",10138.8862419152,43.465,9.22423205833621,3.7947023628516
2008,"non-mast","KL",8730,"M",21976.4223595649,43.465,9.99777094899539,3.7947023628516
2008,"non-mast","KL",8732,"F",149.929236900225,43.465,5.01681109717383,3.7947023628516
2008,"non-mast","KL",8733,"F",1108.70949902157,43.465,7.01185354746049,3.7947023628516
2010,"mast","KL",8760,"M",13411.8517372565,1871.957,9.50396861118086,7.53527374435888
2015,"post-mast","KL",8770,"F",0,0.006,0,0.00598207167754747
2012,"non-mast","SU",8775,"M",1039.60536895042,36.241,6.9475579083186,3.61741030489474
2013,"non-mast","SU",8775,"M",36871.4985283975,59.005,10.5152212548231,4.0944278920834
2012,"non-mast","SU",10037,"M",6724.87359932023,36.241,8.81371709927799,3.61741030489474
2013,"non-mast","SU",10037,"M",38497.0763770893,59.005,10.5583635547962,4.0944278920834
2012,"non-mast","SU",10043,"M",1413.71669411541,36.241,7.25468457385855,3.61741030489474
2013,"non-mast","SU",10043,"M",23210.7410231909,59.005,10.0524135082256,4.0944278920834
2016,"non-mast","SU",10043,"M",0,3.118,0,1.4153676086056
2017,"non-mast","SU",10043,"M",9889.21007472507,44.479,9.19930066551605,3.81725068095371
2011,"post-mast","KL",10046,"F",0,0.037,0,0.0363319292473902
2012,"non-mast","KL",10046,"F",142.942465738336,129.998,4.96941367625346,4.87518205590903
2013,"non-mast","KL",10046,"F",21117.0004192672,152.574,9.95788105622,5.03418253555231
2012,"non-mast","KL",10047,"M",4790.01249886714,129.998,8.47449704570191,4.87518205590903
2014,"mast","SU",10047,"M",38039.1892478286,263.342,10.5463984916162,5.57724371931451
2013,"non-mast","SU",10048,"F",3267.25635973338,59.005,8.09201189835406,4.0944278920834
2014,"mast","SU",10048,"F",25362.3611084338,263.342,10.1410609355906,5.57724371931451
2012,"non-mast","SU",10049,"M",49.6982504505385,36.241,3.9258914021228,3.61741030489474
2009,"non-mast","SU",10115,"M",9582.03212637407,38.197,9.16774932677204,3.66860021325556
2009,"non-mast","SU",10120,"M",17384.3179260276,38.197,9.76338133165051,3.66860021325556
2008,"non-mast","KL",10121,"M",5721.66925358171,43.465,8.6521906282494,3.7947023628516
2009,"non-mast","KL",10121,"M",20153.2214250851,93.163,9.91116904543699,4.54502732310718
2009,"non-mast","SU",10133,"F",911.06186954104,38.197,6.81570782718238,3.66860021325556
2009,"non-mast","SU",10135,"M",28285.1331070549,38.197,10.2501269673268,3.66860021325556
2008,"non-mast","KL",10136,"M",6475.23697474591,43.465,8.77589490689299,3.7947023628516
2008,"non-mast","KL",10137,"F",3208.64602178985,43.465,8.07391593645777,3.7947023628516
2008,"non-mast","KL",10138,"M",9973.67310221377,43.465,9.20780446951317,3.7947023628516
2009,"non-mast","KL",10140,"F",1631.05790983544,93.163,7.3975970188623,4.54502732310718
2008,"non-mast","KL",10146,"M",4516.03943953533,43.465,8.41561206697255,3.7947023628516
2008,"non-mast","KL",10153,"M",1667.5734702795,43.465,7.41972433095257,3.7947023628516
2009,"non-mast","SU",10160,"F",0,38.197,0,3.66860021325556
2009,"non-mast","KL",10177,"M",2195.18786669587,93.163,7.69447834846748,4.54502732310718
2008,"non-mast","KL",10178,"M",6076.7728523617,43.465,8.712393600676,3.7947023628516
2009,"non-mast","KL",10178,"M",522.277506813,93.163,6.26011192910446,4.54502732310718
2009,"non-mast","KL",10182,"F",243.657508347755,93.163,5.49985930742465,4.54502732310718
2011,"post-mast","KL",10182,"F",0,0.037,0,0.0363319292473902
2008,"non-mast","KL",10183,"F",8145.75159752272,43.465,9.00537454979091,3.7947023628516
2009,"non-mast","KL",10184,"F",88.66408953979,93.163,4.49607034932876,4.54502732310718
2010,"mast","KL",10184,"F",978.257045742822,1871.957,6.88679416755996,7.53527374435888
2009,"non-mast","SU",10185,"M",5429.37023710396,38.197,8.5997625942323,3.66860021325556
2009,"non-mast","SU",10191,"F",7941.43899196114,38.197,8.97997568490059,3.66860021325556
2008,"non-mast","KL",10212,"M",782.747444595982,43.465,6.66408683145822,3.7947023628516
2008,"non-mast","KL",10274,"M",2876.53713590489,43.465,7.96469004612697,3.7947023628516
2008,"non-mast","KL",10275,"M",5329.41741250381,43.465,8.58118482788411,3.7947023628516
2009,"non-mast","KL",10275,"M",15268.2139275242,93.163,9.63359391866394,4.54502732310718
2009,"non-mast","KL",10285,"M",11180.4387438124,93.163,9.32201042750024,4.54502732310718
2008,"non-mast","KL",10317,"F",1145.77320193385,43.465,7.04470736604683,3.7947023628516
2008,"non-mast","KL",10318,"F",2955.91961902412,43.465,7.99190333619728,3.7947023628516
2009,"non-mast","KL",10318,"F",1289.14381875431,93.163,7.1625089785479,4.54502732310718
2011,"post-mast","KL",10318,"F",0,0.037,0,0.0363319292473902
2012,"non-mast","KL",10318,"F",2902.74434545437,129.998,7.9737563367575,4.87518205590903
2009,"non-mast","SU",10325,"M",14616.8597777569,38.197,9.58999933255739,3.66860021325556
2008,"non-mast","KL",10341,"M",6276.18217355596,43.465,8.74467646028861,3.7947023628516
2008,"non-mast","KL",10342,"F",295.137903589197,43.465,5.69082523633482,3.7947023628516
