year,LowerCI,UpperCI,mushroom_index
1993,4.65,4.9,25
1994,0.07,0.03,0.1
1995,0.14,0.2,0.31
1996,0.34,0.41,0.87
1997,13.86,17.92,57.87
1998,0.11,0.2,0.11
1999,0.39,0.47,0.96
2000,7.09,7.9,59.09
2001,1.42,1.5,14
2002,0.49,0.65,1.87
2003,1.37,1.41,9.04
2004,1.03,1.23,4.48
2005,3.98,4.27,36.53
2006,1.62,2.08,10.61
2007,11.06,11.4,109.96
2008,0.39,0.44,1.32
2009,0.69,0.9,1.37
2010,2.08,2.56,7.48
2011,7.89,8.57,45.72
2012,3.27,3.43,26.7
2013,1.24,1.56,4.04
2014,0.36,0.4,1.53
2015,0.56,0.6,2.7
2016,2.38,2.78,13.22
2017,5.02,5.55,29.21
2018,0.02,0.38,0.12
2019,26.47,30.12,141.5
2020,4.17,4.32,35.55
2021,0.31,0.38,0.74
2022,2.95,6.46,6.52
2023,0.7,2.81,3.65
2024,0.51,0.62,1.49
