reflo,locx,locy
-812,-8.0,12.0
-812,-8.0,12.1
-811,-8.0,11.0
-811,-8.0,11.3
-713,-7.4,13.4
-712,-7.0,12.0
-711,-7.0,11.0
-711,-7.2,11.1
-613,-6.2,13.3
-612,-6.5,12.0
-612,-6.0,12.0
-612,-6.4,12.4
-611,-6.0,11.0
-611,-5.9,11.3
-611,-6.0,11.3
-611,-6.1,11.8
-610,-6.2,9.8
-610,-6.2,10.0
-610,-6.0,10.0
-610,-6.2,10.9
-515,-5.2,14.9
-515,-5.3,15.0
-515,-5.1,15.4
-515,-5.0,15.5
-515,-5.1,15.6
-515,-5.0,15.7
-515,-5.0,15.7
-513,-5.3,12.8
-513,-5.3,13.0
-513,-5.0,13.0
-512,-4.7,11.7
-512,-4.9,11.8
-512,-5.0,12.0
-414,-4.4,14.0
-413,-4.1,13.3
-410,-4.5,10.5
-313,-3.0,12.9
-313,-3.0,13.0
-313,-3.0,13.0
-312,-3.0,12.0
-312,-3.0,12.2
-312,-3.0,12.5
-310,-3.0,10.0
-310,-3.1,10.1
-310,-3.0,13.0
-215,-2.0,15.0
-215,-2.0,15.0
-214,-2.4,13.9
-213,-2.0,13.1
-212,-2.0,12.2
-211,-2.4,11.0
-211,-2.0,11.0
-211,-2.0,11.1
-114,-1.2,14.5
-114,-1.0,14.5
-114,-1.2,14.5
-113,-1.0,13.3
-110,-1.0,10.0
-110,-1.3,10.2
-79,-7.0,9.0
-77,-7.5,6.2
-77,-7.0,7.0
-75,-7.0,5.0
-73,-7.0,3.1
-66,-6.0,6.0
-66,-6.4,6.3
-65,-6.0,5.0
-63,-6.0,3.0
-63,-6.3,3.3
-59,-5.4,8.7
-59,-5.0,9.0
-59,-5.4,9.7
-55,-5.0,5.0
-55,-5.1,5.0
-53,-5.0,3.0
-53,-4.9,3.1
-53,-4.9,3.3
-53,-5.0,3.5
-43,-4.0,3.5
-38,-3.0,8.0
-38,-3.5,8.0
-38,-3.5,8.0
-36,-3.0,6.5
-36,-2.9,6.5
-35,-3.1,5.4
-35,-3.0,5.5
-32,-2.8,2.0
-30,-3.0,0.0
-30,-3.8,0.0
-30,-3.6,0.1
-27,-2.6,5.1
-27,-2.0,6.7
-27,-2.0,6.8
-27,-2.0,6.9
-27,-2.0,6.9
-27,-2.0,7.0
-19,-1.1,8.9
-14,-1.0,4.0
-11,-1.0,1.0
-11,-1.0,1.0
-8.12,-8.5,12.0
-8.12,-8.6,12.1
-8.12,-8.5,12.3
-8.11,-8.5,11.0
-7.9,-7.5,9.0
-7.9,-7.5,9.2
-7.9,-7.8,9.2
-7.6,-7.5,6.0
-7.6,-7.5,6.0
-7.6,-7.5,6.2
-7.6,-7.4,6.2
-7.5,-7.6,5.0
-7.12,-7.7,12.7
-6.9,-6.7,9.0
-6.9,-6.5,9.0
-6.9,-6.7,9.1
-6.8,-6.5,8.0
-6.5,-6.5,6.2
-5.6,-5.4,6.0
-4.13,-4.5,13.0
-4.13,-4.1,13.3
-4.1,-4.6,10.0
-4.1,-4.6,10.0
-4.1,-4.8,10.0
-4.1,-4.5,10.0
-3.2,-3.3,2.0
-2.8,-2.8,8.0
-2.5,-2.5,5.0
-2.5,-2.6,5.1
-2.5,-2.5,5.1
-2.13,-2.5,12.9
-2.12,-2.0,12.2
-2.11,-2.4,11.0
-2.11,-2.5,11.0
-2.1,-2.4,10.0
-0.12,-0.3,12.0
-0.12,0.3,12.0
-0.12,-0.5,12.0
0.1,0.4,10.0
0.11,0.7,11.0
0.12,-0.5,12.0
0.12,0.7,12.2
05,0.0,4.9
05,0.0,5.0
05,0.0,5.2
05.,0.1,5.5
05.,0.0,5.5
08,-0.3,8.0
014,0.3,14.0
014,0.2,14.0
-1.1.,-1.5,1.5
