"year","sex","repro_stage","location","num_events"
1994,"F","lactation","Off Midden",15
1994,"F","lactation","On Midden",2
1994,"F","mating","Off Midden",0
1994,"F","mating","On Midden",0
1994,"F","non-breeding","Off Midden",0
1994,"F","non-breeding","On Midden",0
1994,"M","lactation","Off Midden",0
1994,"M","lactation","On Midden",0
1994,"M","mating","Off Midden",0
1994,"M","mating","On Midden",0
1994,"M","non-breeding","Off Midden",0
1994,"M","non-breeding","On Midden",0
1995,"F","lactation","Off Midden",52
1995,"F","lactation","On Midden",3
1995,"F","mating","Off Midden",18
1995,"F","mating","On Midden",1
1995,"F","non-breeding","Off Midden",0
1995,"F","non-breeding","On Midden",0
1995,"M","lactation","Off Midden",2
1995,"M","lactation","On Midden",0
1995,"M","mating","Off Midden",0
1995,"M","mating","On Midden",0
1995,"M","non-breeding","Off Midden",0
1995,"M","non-breeding","On Midden",0
1996,"F","lactation","Off Midden",18
1996,"F","lactation","On Midden",18
1996,"F","mating","Off Midden",0
1996,"F","mating","On Midden",0
1996,"F","non-breeding","Off Midden",0
1996,"F","non-breeding","On Midden",0
1996,"M","lactation","Off Midden",0
1996,"M","lactation","On Midden",0
1996,"M","mating","Off Midden",0
1996,"M","mating","On Midden",0
1996,"M","non-breeding","Off Midden",0
1996,"M","non-breeding","On Midden",0
1997,"F","lactation","Off Midden",210
1997,"F","lactation","On Midden",17
1997,"F","mating","Off Midden",0
1997,"F","mating","On Midden",0
1997,"F","non-breeding","Off Midden",0
1997,"F","non-breeding","On Midden",0
1997,"M","lactation","Off Midden",0
1997,"M","lactation","On Midden",0
1997,"M","mating","Off Midden",0
1997,"M","mating","On Midden",0
1997,"M","non-breeding","Off Midden",0
1997,"M","non-breeding","On Midden",0
1999,"F","lactation","Off Midden",69
1999,"F","lactation","On Midden",44
1999,"F","mating","Off Midden",65
1999,"F","mating","On Midden",55
1999,"F","non-breeding","Off Midden",0
1999,"F","non-breeding","On Midden",0
1999,"M","lactation","Off Midden",2
1999,"M","lactation","On Midden",5
1999,"M","mating","Off Midden",8
1999,"M","mating","On Midden",14
1999,"M","non-breeding","Off Midden",0
1999,"M","non-breeding","On Midden",0
2000,"F","lactation","Off Midden",408
2000,"F","lactation","On Midden",157
2000,"F","mating","Off Midden",0
2000,"F","mating","On Midden",0
2000,"F","non-breeding","Off Midden",27
2000,"F","non-breeding","On Midden",7
2000,"M","lactation","Off Midden",161
2000,"M","lactation","On Midden",139
2000,"M","mating","Off Midden",0
2000,"M","mating","On Midden",0
2000,"M","non-breeding","Off Midden",9
2000,"M","non-breeding","On Midden",7
2001,"F","lactation","Off Midden",301
2001,"F","lactation","On Midden",81
2001,"F","mating","Off Midden",2
2001,"F","mating","On Midden",0
2001,"F","non-breeding","Off Midden",0
2001,"F","non-breeding","On Midden",0
2001,"M","lactation","Off Midden",76
2001,"M","lactation","On Midden",29
2001,"M","mating","Off Midden",2
2001,"M","mating","On Midden",0
2001,"M","non-breeding","Off Midden",0
2001,"M","non-breeding","On Midden",0
2002,"F","lactation","Off Midden",2037
2002,"F","lactation","On Midden",296
2002,"F","mating","Off Midden",59
2002,"F","mating","On Midden",21
2002,"F","non-breeding","Off Midden",85
2002,"F","non-breeding","On Midden",41
2002,"M","lactation","Off Midden",427
2002,"M","lactation","On Midden",78
2002,"M","mating","Off Midden",6
2002,"M","mating","On Midden",1
2002,"M","non-breeding","Off Midden",0
2002,"M","non-breeding","On Midden",0
2003,"F","lactation","Off Midden",1520
2003,"F","lactation","On Midden",311
2003,"F","mating","Off Midden",0
2003,"F","mating","On Midden",0
2003,"F","non-breeding","Off Midden",37
2003,"F","non-breeding","On Midden",14
2003,"M","lactation","Off Midden",702
2003,"M","lactation","On Midden",106
2003,"M","mating","Off Midden",0
2003,"M","mating","On Midden",0
2003,"M","non-breeding","Off Midden",10
2003,"M","non-breeding","On Midden",2
2004,"F","lactation","Off Midden",2042
2004,"F","lactation","On Midden",233
2004,"F","mating","Off Midden",2
2004,"F","mating","On Midden",2
2004,"F","non-breeding","Off Midden",0
2004,"F","non-breeding","On Midden",0
2004,"M","lactation","Off Midden",104
2004,"M","lactation","On Midden",16
2004,"M","mating","Off Midden",4
2004,"M","mating","On Midden",0
2004,"M","non-breeding","Off Midden",0
2004,"M","non-breeding","On Midden",0
2005,"F","lactation","Off Midden",410
2005,"F","lactation","On Midden",38
2005,"F","mating","Off Midden",781
2005,"F","mating","On Midden",73
2005,"F","non-breeding","Off Midden",0
2005,"F","non-breeding","On Midden",0
2005,"M","lactation","Off Midden",326
2005,"M","lactation","On Midden",38
2005,"M","mating","Off Midden",240
2005,"M","mating","On Midden",31
2005,"M","non-breeding","Off Midden",0
2005,"M","non-breeding","On Midden",0
2006,"F","lactation","Off Midden",271
2006,"F","lactation","On Midden",113
2006,"F","mating","Off Midden",48
2006,"F","mating","On Midden",27
2006,"F","non-breeding","Off Midden",0
2006,"F","non-breeding","On Midden",0
2006,"M","lactation","Off Midden",171
2006,"M","lactation","On Midden",87
2006,"M","mating","Off Midden",20
2006,"M","mating","On Midden",6
2006,"M","non-breeding","Off Midden",0
2006,"M","non-breeding","On Midden",0
2007,"F","lactation","Off Midden",209
2007,"F","lactation","On Midden",123
2007,"F","mating","Off Midden",137
2007,"F","mating","On Midden",111
2007,"F","non-breeding","Off Midden",0
2007,"F","non-breeding","On Midden",0
2007,"M","lactation","Off Midden",158
2007,"M","lactation","On Midden",77
2007,"M","mating","Off Midden",77
2007,"M","mating","On Midden",62
2007,"M","non-breeding","Off Midden",0
2007,"M","non-breeding","On Midden",0
2008,"F","lactation","Off Midden",492
2008,"F","lactation","On Midden",165
2008,"F","mating","Off Midden",108
2008,"F","mating","On Midden",55
2008,"F","non-breeding","Off Midden",2
2008,"F","non-breeding","On Midden",2
2008,"M","lactation","Off Midden",582
2008,"M","lactation","On Midden",187
2008,"M","mating","Off Midden",115
2008,"M","mating","On Midden",43
2008,"M","non-breeding","Off Midden",4
2008,"M","non-breeding","On Midden",2
2009,"F","lactation","Off Midden",172
2009,"F","lactation","On Midden",76
2009,"F","mating","Off Midden",47
2009,"F","mating","On Midden",49
2009,"F","non-breeding","Off Midden",0
2009,"F","non-breeding","On Midden",0
2009,"M","lactation","Off Midden",181
2009,"M","lactation","On Midden",59
2009,"M","mating","Off Midden",21
2009,"M","mating","On Midden",30
2009,"M","non-breeding","Off Midden",0
2009,"M","non-breeding","On Midden",0
2010,"F","lactation","Off Midden",17
2010,"F","lactation","On Midden",10
2010,"F","mating","Off Midden",101
2010,"F","mating","On Midden",114
2010,"F","non-breeding","Off Midden",0
2010,"F","non-breeding","On Midden",0
2010,"M","lactation","Off Midden",7
2010,"M","lactation","On Midden",5
2010,"M","mating","Off Midden",27
2010,"M","mating","On Midden",55
2010,"M","non-breeding","Off Midden",0
2010,"M","non-breeding","On Midden",0
2011,"F","lactation","Off Midden",468
2011,"F","lactation","On Midden",172
2011,"F","mating","Off Midden",170
2011,"F","mating","On Midden",86
2011,"F","non-breeding","Off Midden",19
2011,"F","non-breeding","On Midden",5
2011,"M","lactation","Off Midden",93
2011,"M","lactation","On Midden",50
2011,"M","mating","Off Midden",12
2011,"M","mating","On Midden",5
2011,"M","non-breeding","Off Midden",28
2011,"M","non-breeding","On Midden",14
2012,"F","lactation","Off Midden",55
2012,"F","lactation","On Midden",43
2012,"F","mating","Off Midden",15
2012,"F","mating","On Midden",37
2012,"F","non-breeding","Off Midden",1
2012,"F","non-breeding","On Midden",0
2012,"M","lactation","Off Midden",28
2012,"M","lactation","On Midden",23
2012,"M","mating","Off Midden",8
2012,"M","mating","On Midden",19
2012,"M","non-breeding","Off Midden",3
2012,"M","non-breeding","On Midden",0
2013,"F","lactation","Off Midden",81
2013,"F","lactation","On Midden",95
2013,"F","mating","Off Midden",28
2013,"F","mating","On Midden",28
2013,"F","non-breeding","Off Midden",21
2013,"F","non-breeding","On Midden",12
2013,"M","lactation","Off Midden",63
2013,"M","lactation","On Midden",81
2013,"M","mating","Off Midden",56
2013,"M","mating","On Midden",249
2013,"M","non-breeding","Off Midden",17
2013,"M","non-breeding","On Midden",12
2014,"F","lactation","Off Midden",1321
2014,"F","lactation","On Midden",468
2014,"F","mating","Off Midden",88
2014,"F","mating","On Midden",153
2014,"F","non-breeding","Off Midden",0
2014,"F","non-breeding","On Midden",0
2014,"M","lactation","Off Midden",1869
2014,"M","lactation","On Midden",981
2014,"M","mating","Off Midden",178
2014,"M","mating","On Midden",638
2014,"M","non-breeding","Off Midden",0
2014,"M","non-breeding","On Midden",0
2015,"F","lactation","Off Midden",54
2015,"F","lactation","On Midden",115
2015,"F","mating","Off Midden",10
2015,"F","mating","On Midden",30
2015,"F","non-breeding","Off Midden",5
2015,"F","non-breeding","On Midden",14
2015,"M","lactation","Off Midden",589
2015,"M","lactation","On Midden",604
2015,"M","mating","Off Midden",4
2015,"M","mating","On Midden",14
2015,"M","non-breeding","Off Midden",133
2015,"M","non-breeding","On Midden",268
2016,"F","lactation","Off Midden",300
2016,"F","lactation","On Midden",333
2016,"F","mating","Off Midden",11
2016,"F","mating","On Midden",25
2016,"F","non-breeding","Off Midden",153
2016,"F","non-breeding","On Midden",87
2016,"M","lactation","Off Midden",1618
2016,"M","lactation","On Midden",1010
2016,"M","mating","Off Midden",5
2016,"M","mating","On Midden",5
2016,"M","non-breeding","Off Midden",128
2016,"M","non-breeding","On Midden",92
2017,"F","lactation","Off Midden",23
2017,"F","lactation","On Midden",37
2017,"F","mating","Off Midden",6
2017,"F","mating","On Midden",31
2017,"F","non-breeding","Off Midden",63
2017,"F","non-breeding","On Midden",23
2017,"M","lactation","Off Midden",5
2017,"M","lactation","On Midden",9
2017,"M","mating","Off Midden",5
2017,"M","mating","On Midden",26
2017,"M","non-breeding","Off Midden",1
2017,"M","non-breeding","On Midden",2
2018,"F","lactation","Off Midden",144
2018,"F","lactation","On Midden",77
2018,"F","mating","Off Midden",21
2018,"F","mating","On Midden",33
2018,"F","non-breeding","Off Midden",12
2018,"F","non-breeding","On Midden",5
2018,"M","lactation","Off Midden",61
2018,"M","lactation","On Midden",43
2018,"M","mating","Off Midden",7
2018,"M","mating","On Midden",11
2018,"M","non-breeding","Off Midden",3
2018,"M","non-breeding","On Midden",13
2019,"F","lactation","Off Midden",31
2019,"F","lactation","On Midden",10
2019,"F","mating","Off Midden",78
2019,"F","mating","On Midden",22
2019,"F","non-breeding","Off Midden",28
2019,"F","non-breeding","On Midden",16
2019,"M","lactation","Off Midden",0
2019,"M","lactation","On Midden",0
2019,"M","mating","Off Midden",7
2019,"M","mating","On Midden",5
2019,"M","non-breeding","Off Midden",1614
2019,"M","non-breeding","On Midden",1712
2020,"F","lactation","Off Midden",34
2020,"F","lactation","On Midden",16
2020,"F","mating","Off Midden",8
2020,"F","mating","On Midden",22
2020,"F","non-breeding","Off Midden",1
2020,"F","non-breeding","On Midden",0
2020,"M","lactation","Off Midden",17
2020,"M","lactation","On Midden",18
2020,"M","mating","Off Midden",4
2020,"M","mating","On Midden",8
2020,"M","non-breeding","Off Midden",3
2020,"M","non-breeding","On Midden",1
2021,"F","lactation","Off Midden",10
2021,"F","lactation","On Midden",0
2021,"F","mating","Off Midden",9
2021,"F","mating","On Midden",17
2021,"F","non-breeding","Off Midden",4
2021,"F","non-breeding","On Midden",4
2021,"M","lactation","Off Midden",3
2021,"M","lactation","On Midden",1
2021,"M","mating","Off Midden",8
2021,"M","mating","On Midden",10
2021,"M","non-breeding","Off Midden",2
2021,"M","non-breeding","On Midden",6
2022,"F","lactation","Off Midden",14
2022,"F","lactation","On Midden",12
2022,"F","mating","Off Midden",4
2022,"F","mating","On Midden",9
2022,"F","non-breeding","Off Midden",5
2022,"F","non-breeding","On Midden",1
2022,"M","lactation","Off Midden",2
2022,"M","lactation","On Midden",7
2022,"M","mating","Off Midden",7
2022,"M","mating","On Midden",9
2022,"M","non-breeding","Off Midden",2
2022,"M","non-breeding","On Midden",2
2023,"F","lactation","Off Midden",6
2023,"F","lactation","On Midden",19
2023,"F","mating","Off Midden",0
2023,"F","mating","On Midden",1
2023,"F","non-breeding","Off Midden",2
2023,"F","non-breeding","On Midden",3
2023,"M","lactation","Off Midden",7
2023,"M","lactation","On Midden",10
2023,"M","mating","Off Midden",0
2023,"M","mating","On Midden",0
2023,"M","non-breeding","Off Midden",0
2023,"M","non-breeding","On Midden",3
