"year","sex","food_group","num_obs"
1994,"F","buds",1
1994,"F","old_cones",0
1994,"F","old_mushrooms",0
1994,"F","other",0
1994,"M","buds",0
1994,"M","old_cones",0
1994,"M","old_mushrooms",0
1994,"M","other",0
1997,"F","buds",0
1997,"F","old_cones",1
1997,"F","old_mushrooms",0
1997,"F","other",0
1997,"M","buds",0
1997,"M","old_cones",0
1997,"M","old_mushrooms",0
1997,"M","other",0
2000,"F","buds",0
2000,"F","old_cones",1
2000,"F","old_mushrooms",1
2000,"F","other",0
2000,"M","buds",0
2000,"M","old_cones",0
2000,"M","old_mushrooms",0
2000,"M","other",0
2001,"F","buds",0
2001,"F","old_cones",0
2001,"F","old_mushrooms",0
2001,"F","other",0
2001,"M","buds",0
2001,"M","old_cones",1
2001,"M","old_mushrooms",0
2001,"M","other",0
2002,"F","buds",2
2002,"F","old_cones",9
2002,"F","old_mushrooms",13
2002,"F","other",1
2002,"M","buds",0
2002,"M","old_cones",2
2002,"M","old_mushrooms",0
2002,"M","other",0
2005,"F","buds",100
2005,"F","old_cones",98
2005,"F","old_mushrooms",72
2005,"F","other",14
2005,"M","buds",2
2005,"M","old_cones",20
2005,"M","old_mushrooms",9
2005,"M","other",0
2006,"F","buds",0
2006,"F","old_cones",88
2006,"F","old_mushrooms",3
2006,"F","other",0
2006,"M","buds",1
2006,"M","old_cones",23
2006,"M","old_mushrooms",3
2006,"M","other",1
2007,"F","buds",1
2007,"F","old_cones",29
2007,"F","old_mushrooms",5
2007,"F","other",1
2007,"M","buds",0
2007,"M","old_cones",12
2007,"M","old_mushrooms",1
2007,"M","other",0
2008,"F","buds",17
2008,"F","old_cones",75
2008,"F","old_mushrooms",65
2008,"F","other",7
2008,"M","buds",7
2008,"M","old_cones",55
2008,"M","old_mushrooms",34
2008,"M","other",3
2009,"F","buds",7
2009,"F","old_cones",7
2009,"F","old_mushrooms",31
2009,"F","other",2
2009,"M","buds",1
2009,"M","old_cones",20
2009,"M","old_mushrooms",18
2009,"M","other",0
2010,"F","buds",48
2010,"F","old_cones",60
2010,"F","old_mushrooms",15
2010,"F","other",11
2010,"M","buds",6
2010,"M","old_cones",32
2010,"M","old_mushrooms",3
2010,"M","other",0
2011,"F","buds",5
2011,"F","old_cones",405
2011,"F","old_mushrooms",33
2011,"F","other",5
2011,"M","buds",1
2011,"M","old_cones",22
2011,"M","old_mushrooms",0
2011,"M","other",0
2012,"F","buds",8
2012,"F","old_cones",25
2012,"F","old_mushrooms",11
2012,"F","other",4
2012,"M","buds",2
2012,"M","old_cones",11
2012,"M","old_mushrooms",5
2012,"M","other",1
2013,"F","buds",15
2013,"F","old_cones",29
2013,"F","old_mushrooms",42
2013,"F","other",2
2013,"M","buds",3
2013,"M","old_cones",220
2013,"M","old_mushrooms",112
2013,"M","other",7
2014,"F","buds",19
2014,"F","old_cones",63
2014,"F","old_mushrooms",7
2014,"F","other",10
2014,"M","buds",99
2014,"M","old_cones",719
2014,"M","old_mushrooms",36
2014,"M","other",89
2015,"F","buds",2
2015,"F","old_cones",156
2015,"F","old_mushrooms",6
2015,"F","other",15
2015,"M","buds",18
2015,"M","old_cones",542
2015,"M","old_mushrooms",12
2015,"M","other",67
2016,"F","buds",2
2016,"F","old_cones",45
2016,"F","old_mushrooms",10
2016,"F","other",11
2016,"M","buds",3
2016,"M","old_cones",24
2016,"M","old_mushrooms",3
2016,"M","other",6
2017,"F","buds",5
2017,"F","old_cones",25
2017,"F","old_mushrooms",9
2017,"F","other",2
2017,"M","buds",1
2017,"M","old_cones",24
2017,"M","old_mushrooms",2
2017,"M","other",4
2018,"F","buds",16
2018,"F","old_cones",21
2018,"F","old_mushrooms",18
2018,"F","other",6
2018,"M","buds",4
2018,"M","old_cones",15
2018,"M","old_mushrooms",6
2018,"M","other",4
2019,"F","buds",58
2019,"F","old_cones",15
2019,"F","old_mushrooms",3
2019,"F","other",1
2019,"M","buds",3914
2019,"M","old_cones",1172
2019,"M","old_mushrooms",298
2019,"M","other",156
2020,"F","buds",0
2020,"F","old_cones",30
2020,"F","old_mushrooms",3
2020,"F","other",18
2020,"M","buds",0
2020,"M","old_cones",17
2020,"M","old_mushrooms",3
2020,"M","other",18
2021,"F","buds",6
2021,"F","old_cones",13
2021,"F","old_mushrooms",6
2021,"F","other",4
2021,"M","buds",0
2021,"M","old_cones",15
2021,"M","old_mushrooms",1
2021,"M","other",1
2022,"F","buds",10
2022,"F","old_cones",4
2022,"F","old_mushrooms",5
2022,"F","other",0
2022,"M","buds",20
2022,"M","old_cones",37
2022,"M","old_mushrooms",19
2022,"M","other",7
2023,"F","buds",1
2023,"F","old_cones",17
2023,"F","old_mushrooms",1
2023,"F","other",1
2023,"M","buds",1
2023,"M","old_cones",6
2023,"M","old_mushrooms",0
2023,"M","other",0
