"year","sex","repro_stage","food_type","num_events"
"1994","F","lactation","capital",4
"1994","F","lactation","income",5
"1994","F","mating","capital",0
"1994","F","mating","income",0
"1994","F","non-breeding","capital",0
"1994","F","non-breeding","income",0
"1994","M","lactation","capital",0
"1994","M","lactation","income",0
"1994","M","mating","capital",0
"1994","M","mating","income",0
"1994","M","non-breeding","capital",0
"1994","M","non-breeding","income",0
"1995","F","lactation","capital",0
"1995","F","lactation","income",55
"1995","F","mating","capital",1
"1995","F","mating","income",29
"1995","F","non-breeding","capital",0
"1995","F","non-breeding","income",0
"1995","M","lactation","capital",0
"1995","M","lactation","income",0
"1995","M","mating","capital",0
"1995","M","mating","income",0
"1995","M","non-breeding","capital",0
"1995","M","non-breeding","income",0
"1996","F","lactation","capital",10
"1996","F","lactation","income",16
"1996","F","mating","capital",0
"1996","F","mating","income",0
"1996","F","non-breeding","capital",0
"1996","F","non-breeding","income",0
"1996","M","lactation","capital",0
"1996","M","lactation","income",0
"1996","M","mating","capital",0
"1996","M","mating","income",0
"1996","M","non-breeding","capital",0
"1996","M","non-breeding","income",0
"1997","F","lactation","capital",13
"1997","F","lactation","income",156
"1997","F","mating","capital",0
"1997","F","mating","income",0
"1997","F","non-breeding","capital",0
"1997","F","non-breeding","income",0
"1997","M","lactation","capital",0
"1997","M","lactation","income",0
"1997","M","mating","capital",0
"1997","M","mating","income",0
"1997","M","non-breeding","capital",0
"1997","M","non-breeding","income",0
"1999","F","lactation","capital",12
"1999","F","lactation","income",32
"1999","F","mating","capital",55
"1999","F","mating","income",19
"1999","F","non-breeding","capital",0
"1999","F","non-breeding","income",0
"1999","M","lactation","capital",0
"1999","M","lactation","income",2
"1999","M","mating","capital",15
"1999","M","mating","income",1
"1999","M","non-breeding","capital",0
"1999","M","non-breeding","income",0
"2000","F","lactation","capital",153
"2000","F","lactation","income",110
"2000","F","mating","capital",0
"2000","F","mating","income",0
"2000","F","non-breeding","capital",1
"2000","F","non-breeding","income",2
"2000","M","lactation","capital",151
"2000","M","lactation","income",84
"2000","M","mating","capital",0
"2000","M","mating","income",0
"2000","M","non-breeding","capital",2
"2000","M","non-breeding","income",0
"2001","F","lactation","capital",42
"2001","F","lactation","income",51
"2001","F","mating","capital",1
"2001","F","mating","income",1
"2001","F","non-breeding","capital",0
"2001","F","non-breeding","income",0
"2001","M","lactation","capital",13
"2001","M","lactation","income",12
"2001","M","mating","capital",0
"2001","M","mating","income",1
"2001","M","non-breeding","capital",0
"2001","M","non-breeding","income",0
"2002","F","lactation","capital",49
"2002","F","lactation","income",705
"2002","F","mating","capital",8
"2002","F","mating","income",3
"2002","F","non-breeding","capital",0
"2002","F","non-breeding","income",65
"2002","M","lactation","capital",21
"2002","M","lactation","income",134
"2002","M","mating","capital",3
"2002","M","mating","income",0
"2002","M","non-breeding","capital",0
"2002","M","non-breeding","income",0
"2003","F","lactation","capital",122
"2003","F","lactation","income",419
"2003","F","mating","capital",0
"2003","F","mating","income",0
"2003","F","non-breeding","capital",6
"2003","F","non-breeding","income",3
"2003","M","lactation","capital",50
"2003","M","lactation","income",119
"2003","M","mating","capital",0
"2003","M","mating","income",0
"2003","M","non-breeding","capital",0
"2003","M","non-breeding","income",1
"2004","F","lactation","capital",80
"2004","F","lactation","income",570
"2004","F","mating","capital",2
"2004","F","mating","income",0
"2004","F","non-breeding","capital",0
"2004","F","non-breeding","income",0
"2004","M","lactation","capital",19
"2004","M","lactation","income",12
"2004","M","mating","capital",1
"2004","M","mating","income",0
"2004","M","non-breeding","capital",0
"2004","M","non-breeding","income",0
"2005","F","lactation","capital",1
"2005","F","lactation","income",129
"2005","F","mating","capital",66
"2005","F","mating","income",141
"2005","F","non-breeding","capital",0
"2005","F","non-breeding","income",0
"2005","M","lactation","capital",0
"2005","M","lactation","income",163
"2005","M","mating","capital",35
"2005","M","mating","income",95
"2005","M","non-breeding","capital",0
"2005","M","non-breeding","income",0
"2006","F","lactation","capital",161
"2006","F","lactation","income",144
"2006","F","mating","capital",76
"2006","F","mating","income",1
"2006","F","non-breeding","capital",0
"2006","F","non-breeding","income",0
"2006","M","lactation","capital",125
"2006","M","lactation","income",99
"2006","M","mating","capital",30
"2006","M","mating","income",0
"2006","M","non-breeding","capital",0
"2006","M","non-breeding","income",0
"2007","F","lactation","capital",95
"2007","F","lactation","income",117
"2007","F","mating","capital",66
"2007","F","mating","income",56
"2007","F","non-breeding","capital",0
"2007","F","non-breeding","income",1
"2007","M","lactation","capital",38
"2007","M","lactation","income",90
"2007","M","mating","capital",50
"2007","M","mating","income",38
"2007","M","non-breeding","capital",0
"2007","M","non-breeding","income",0
"2008","F","lactation","capital",103
"2008","F","lactation","income",136
"2008","F","mating","capital",48
"2008","F","mating","income",14
"2008","F","non-breeding","capital",0
"2008","F","non-breeding","income",4
