"month","category","frequency","proportion"
"Apr","female off midden",200,0.376647834274953
"Apr","female on midden",30,0.0564971751412429
"Apr","male off midden",253,0.476459510357815
"Apr","male on midden",48,0.0903954802259887
"Jul","female off midden",407,0.441431670281996
"Jul","female on midden",34,0.0368763557483731
"Jul","male off midden",443,0.480477223427332
"Jul","male on midden",38,0.0412147505422994
"Jun","female off midden",947,0.667842031029619
"Jun","female on midden",74,0.0521861777150917
"Jun","male off midden",369,0.260225669957687
"Jun","male on midden",28,0.0197461212976023
"Mar","female off midden",46,0.223300970873786
"Mar","female on midden",6,0.029126213592233
"Mar","male off midden",131,0.635922330097087
"Mar","male on midden",23,0.111650485436893
"May","female off midden",456,0.186198448346264
"May","female on midden",46,0.0187831768068599
"May","male off midden",1812,0.739893834218048
"May","male on midden",135,0.0551245406288281
