Term,Estimate,Std. Error,t value,Pr(>|t|)
(Intercept),2.857684007,0.049594053,57.62150579,5.2699511436959e-301
sexM,-0.234353611,0.064600066,-3.627761157,0.000302398
repro_stageLACTATING,0.567716863,0.123890056,4.582424796,5.03777149344612e-06
year_typepost-mast,-0.034255666,0.067160599,-0.510055991,0.610066841
year_typenon-mast,0.000535288,0.062703054,0.008536865,0.993189531
snowsnow,-0.105963908,0.033295241,-3.182554206,0.001478233
sexM:repro_stageLACTATING,-0.702132753,0.182302695,-3.851466661,0.00012296
sexM:year_typepost-mast,0.360853688,0.081196698,4.44419165,9.27510647461098e-06
sexM:year_typenon-mast,0.062750599,0.076295256,0.822470518,0.4109023
repro_stageLACTATING:year_typepost-mast,-0.773955773,0.151698742,-5.101926119,3.7997281236625e-07
repro_stageLACTATING:year_typenon-mast,-0.533334422,0.138973193,-3.837678407,0.000129386
sexM:repro_stageLACTATING:year_typepost-mast,0.689798886,0.20830058,3.311555282,0.000950431
sexM:repro_stageLACTATING:year_typenon-mast,0.675368086,0.197297626,3.423092817,0.000635735
