grid,stake,north,west,east
BT,-1,60.97061,138.07802,-138.07802
BT,0,60.9706,138.07861,-138.07861
BT,1,60.97086,138.07843,-138.07843
BT,A0,60.97058,138.07906,-138.07906
BT,A1,60.97083,138.07899,-138.07899
BT,A2,60.97111,138.07878,-138.07878
BT,A3,60.97134,138.07862,-138.07862
BT,A4,60.97159,138.07838,-138.07838
BT,B0,60.97065,138.07959,-138.07959
BT,B1,60.97092,138.07947,-138.07947
BT,B2,60.97113,138.07931,-138.07931
BT,B3,60.97136,138.0791,-138.0791
BT,B4,60.97163,138.07898,-138.07898
BT,C0,60.97084,138.08022,-138.08022
BT,C1,60.97103,138.0812,-138.0812
BT,C2,60.97127,138.07988,-138.07988
BT,C3,60.97152,138.0797,-138.0797
BT,C4,60.97179,138.07945,-138.07945
BT,D0,60.97084,138.08073,-138.08073
BT,D1,60.97106,138.08051,-138.08051
BT,D2,60.9713,138.08031,-138.08031
BT,D3,60.97157,138.0802,-138.0802
BT,D4,60.97182,138.07997,-138.07997
BT,D5,60.97208,138.07971,-138.07971
BT,E0,60.97094,138.08116,-138.08116
BT,E1,60.97117,138.08095,-138.08095
BT,E2,60.97148,138.08083,-138.08083
BT,E3,60.97171,138.0807,-138.0807
BT,E4,60.9718,138.08052,-138.08052
BT,E5,60.97224,138.08017,-138.08017
BT,F0,60.97104,138.08168,-138.08168
BT,F1,60.97134,138.08147,-138.08147
BT,F2,60.97152,138.0813,-138.0813
BT,F3,60.97184,138.08112,-138.08112
BT,F4,60.97207,138.08088,-138.08088
BT,F5,60.97225,138.0807,-138.0807
BT,F6,60.9725,138.08051,-138.08051
BT,G0,60.97118,138.08213,-138.08213
BT,G1,60.97143,138.08192,-138.08192
BT,G2,60.97165,138.08181,-138.08181
BT,G3,60.97196,138.08163,-138.08163
BT,G4,60.97221,138.08144,-138.08144
BT,G5,60.97249,138.08113,-138.08113
BT,G6,60.97272,138.08102,-138.08102
BT,G7,60.97297,138.0809,-138.0809
BT,G8,60.97317,138.08072,-138.08072
BT,H0,60.97126,138.08272,-138.08272
BT,H1,60.97157,138.08252,-138.08252
BT,H2,60.97182,138.08237,-138.08237
BT,H3,60.97205,138.08217,-138.08217
BT,H4,60.97231,138.08194,-138.08194
BT,H5,60.97257,138.08166,-138.08166
BT,H6,60.97277,138.08157,-138.08157
BT,H7,60.97297,138.08141,-138.08141
BT,H8,60.97326,138.08137,-138.08137
BT,I0,60.97136,138.08322,-138.08322
BT,I1,60.97159,138.08305,-138.08305
BT,I2,60.97192,138.08285,-138.08285
BT,I3,60.97214,138.08269,-138.08269
BT,I4,60.97241,138.08251,-138.08251
BT,I5,60.97267,138.08217,-138.08217
BT,I6,60.97291,138.08209,-138.08209
BT,I7,60.97324,138.08191,-138.08191
BT,I8,60.97346,138.08161,-138.08161
BT,J0,60.97146,138.08372,-138.08372
BT,J1,60.97171,138.08362,-138.08362
BT,J2,60.97198,138.08341,-138.08341
BT,J3,60.97223,138.0833,-138.0833
BT,J4,60.9725,138.08308,-138.08308
BT,J5,60.97277,138.08275,-138.08275
BT,J6,60.97334,138.08238,-138.08238
BT,J7,60.97359,138.08226,-138.08226
BT,J8,60.9736,138.08227,-138.08227
BT,J9,60.97389,138.08204,-138.08204
BT,K0,60.97154,138.08425,-138.08425
BT,K1,60.9718,138.08409,-138.08409
BT,K2,60.97206,138.08391,-138.08391
BT,K3,60.97234,138.08374,-138.08374
BT,K4,60.97259,138.0836,-138.0836
BT,K5,60.97284,138.08338,-138.08338
BT,K6,60.97324,138.08299,-138.08299
BT,K7,60.97351,138.08283,-138.08283
BT,K8,60.9737,138.08279,-138.08279
BT,K9,60.97397,138.08255,-138.08255
BT,L0,60.97168,138.08477,-138.08477
BT,L1,60.97187,138.08461,-138.08461
BT,L2,60.97209,138.0844,-138.0844
BT,L3,60.97238,138.08422,-138.08422
BT,L4,60.97261,138.08408,-138.08408
BT,L5,60.97288,138.0839,-138.0839
BT,L6,60.97317,138.08368,-138.08368
BT,L7,60.97353,138.0833,-138.0833
BT,L8,60.97374,138.08332,-138.08332
BT,L9,60.97403,138.08314,-138.08314
BT,M0,60.97182,138.08533,-138.08533
BT,M1,60.97208,138.08509,-138.08509
BT,M2,60.97234,138.08491,-138.08491
BT,M3,60.9725,138.08474,-138.08474
BT,M4,60.97281,138.08455,-138.08455
BT,M5,60.97302,138.08438,-138.08438
BT,M6,60.97329,138.08416,-138.08416
BT,M7,60.97365,138.08381,-138.08381
BT,M8,60.97389,138.08385,-138.08385
BT,N0,60.97191,138.08582,-138.08582
BT,N1,60.97218,138.08558,-138.08558
BT,N2,60.97242,138.0855,-138.0855
BT,N3,60.9726,138.08516,-138.08516
BT,N4,60.97292,138.08507,-138.08507
BT,N5,60.97317,138.08488,-138.08488
BT,N6,60.97345,138.08463,-138.08463
BT,N7,60.9737,138.08433,-138.08433
BT,N8,60.97396,138.08434,-138.08434
BT,O0,60.97209,138.08631,-138.08631
BT,O1,60.97225,138.08613,-138.08613
BT,O2,60.97253,138.086,-138.086
BT,O3,60.97284,138.08572,-138.08572
BT,P0,60.97209,138.08684,-138.08684
BT,P1,60.97234,138.08665,-138.08665
BT,P2,60.97262,138.08656,-138.08656
BT,P3,60.97286,138.08636,-138.08636
BT,Q0,60.97219,138.08736,-138.08736
BT,Q1,60.9724,138.08715,-138.08715
BT,Q2,60.97266,138.08687,-138.08687
BT,Q3,60.97292,138.08671,-138.08671
BT,Q4,60.9732,138.08662,-138.08662
BT,R0,60.97231,138.08788,-138.08788
BT,R1,60.97255,138.08761,-138.08761
BT,R2,60.97277,138.08747,-138.08747
BT,R3,60.9731,138.08734,-138.08734
BT,S0,60.97243,138.0884,-138.0884
BT,S1,60.97263,138.03814,-138.03814
BT,S2,60.97289,138.088,-138.088
BT,S3,60.9731,138.08776,-138.08776
BT,T0,60.97258,138.08895,-138.08895
BT,T1,60.97281,138.08863,-138.08863
SU,-31,60.95405,138.03323,-138.03323
SU,-32,60.95385,138.03365,-138.03365
SU,-33,60.95364,138.03391,-138.03391
SU,-34,60.95339,138.03431,-138.03431
SU,-35,60.9532,138.03466,-138.03466
SU,-36,60.95294,138.03492,-138.03492
SU,-37,60.95279,138.03522,-138.03522
SU,-38,60.95251,138.03563,-138.03563
SU,-39,60.95227,138.03589,-138.03589
SU,-310,60.95208,138.03626,-138.03626
SU,-311,60.95184,138.03656,-138.03656
SU,-312,60.95163,138.03687,-138.03687
SU,-315,60.95095,138.03778,-138.03778
SU,-316,60.95072,138.03804,-138.03804
SU,-317,60.95054,138.03837,-138.03837
SU,-318,60.95035,138.03879,-138.03879
SU,-319,60.95014,138.03913,-138.03913
SU,-320,60.94991,138.03952,-138.03952
SU,-21,60.95416,138.03374,-138.03374
SU,-22,60.95392,138.03402,-138.03402
SU,-23,60.95372,138.03433,-138.03433
SU,-24,60.95349,138.03471,-138.03471
SU,-25,60.95326,138.0351,-138.0351
SU,-26,60.95311,138.0354,-138.0354
SU,-27,60.9529,138.03576,-138.03576
SU,-28,60.95266,138.03615,-138.03615
SU,-29,60.95243,138.0364,-138.0364
SU,-210,60.95226,138.03672,-138.03672
SU,-215,60.95111,138.03831,-138.03831
SU,-216,60.95089,138.03868,-138.03868
SU,-217,60.95065,138.03902,-138.03902
SU,-218,60.95042,138.03937,-138.03937
SU,-219,60.95022,138.03978,-138.03978
SU,-220,60.95004,138.04004,-138.04004
SU,-11,60.95431,138.03423,-138.03423
SU,-12,60.95415,138.03451,-138.03451
SU,-13,60.95396,138.0348,-138.0348
SU,-14,60.95372,138.03512,-138.03512
SU,-15,60.95349,138.03551,-138.03551
SU,-16,60.95327,138.03585,-138.03585
SU,-17,60.95304,138.03616,-138.03616
SU,-18,60.95281,138.0365,-138.0365
SU,-19,60.95264,138.03681,-138.03681
SU,-110,60.9524,138.03718,-138.03718
SU,-111,60.95217,138.0375,-138.0375
SU,-115,60.95126,138.0388,-138.0388
SU,-116,60.9511,138.03913,-138.03913
SU,-117,60.95088,138.0394,-138.0394
SU,-118,60.95068,138.03984,-138.03984
SU,-119,60.95045,138.04005,-138.04005
SU,-120,60.95019,138.0401,-138.0401
SU,1,60.95451,138.03469,-138.03469
SU,2,60.9543,138.03494,-138.03494
SU,3,60.95404,138.03532,-138.03532
SU,4,60.95377,138.03566,-138.03566
SU,5,60.95354,138.03597,-138.03597
SU,6,60.95334,138.03624,-138.03624
SU,7,60.95316,138.03663,-138.03663
SU,8,60.95295,138.03692,-138.03692
SU,9,60.95272,138.03726,-138.03726
SU,10,60.95252,138.03752,-138.03752
SU,11,60.95232,138.03787,-138.03787
SU,12,60.9521,138.03822,-138.03822
SU,15,60.95144,138.03922,-138.03922
SU,16,60.95116,138.03964,-138.03964
SU,17,60.95102,138.03997,-138.03997
SU,18,60.95075,138.04034,-138.04034
SU,19,60.95056,138.04058,-138.04058
SU,20,60.95036,138.04088,-138.04088
SU,A1,60.95464,138.03498,-138.03498
SU,A2,60.95448,138.03527,-138.03527
SU,A3,60.95432,138.03563,-138.03563
SU,A4,60.95403,138.03696,-138.03696
SU,A5,60.95383,138.03631,-138.03631
SU,A6,60.95359,138.0367,-138.0367
SU,A7,60.9534,138.03694,-138.03694
SU,A8,60.95318,138.03727,-138.03727
