"squirrel_id","year","n_middens"
73,"1987",1
158,"1987",1
170,"1987",1
175,"1988",1
220,"1987",1
241,"1987",1
241,"1988",1
249,"1988",1
259,"1988",1
261,"1988",1
267,"1988",1
279,"1988",1
288,"1988",1
325,"1987",1
325,"1988",1
328,"1988",1
356,"1987",2
356,"1988",2
357,"1988",1
369,"1988",1
370,"1987",1
370,"1988",1
371,"1988",1
372,"1987",1
372,"1988",1
395,"1988",1
396,"1988",1
399,"1988",1
404,"1987",1
404,"1988",1
404,"1989",1
494,"1989",1
516,"1988",1
516,"1989",2
567,"1987",1
567,"1988",1
567,"1989",1
584,"1989",1
606,"1989",1
613,"1988",1
687,"1988",1
687,"1989",1
688,"1988",1
688,"1989",1
689,"1988",1
689,"1989",1
692,"1988",1
692,"1989",1
694,"1987",1
694,"1988",1
694,"1989",1
694,"1990",1
695,"1987",1
695,"1988",1
695,"1989",1
696,"1989",1
697,"1987",1
697,"1988",1
697,"1989",1
700,"1988",1
700,"1989",1
701,"1989",1
707,"1990",1
709,"1987",1
709,"1989",1
710,"1988",1
710,"1989",1
712,"1987",1
712,"1988",1
712,"1989",1
714,"1989",1
715,"1987",1
715,"1988",1
715,"1989",2
733,"1990",1
783,"1989",1
783,"1990",1
800,"1988",1
800,"1989",1
800,"1990",1
810,"1988",1
810,"1989",1
810,"1990",1
822,"1990",1
828,"1989",1
828,"1990",2
835,"1989",1
835,"1990",1
847,"1990",1
848,"1987",1
848,"1989",2
848,"1990",1
849,"1988",1
849,"1989",2
849,"1990",2
852,"1988",1
852,"1989",2
852,"1990",2
860,"1988",1
860,"1989",1
860,"1990",1
866,"1990",1
872,"1988",1
872,"1989",1
872,"1990",2
874,"1989",1
874,"1990",1
875,"1987",1
875,"1988",1
875,"1989",1
875,"1990",1
879,"1988",1
879,"1989",1
879,"1990",1
880,"1987",1
880,"1988",1
880,"1989",1
880,"1990",1
881,"1988",1
881,"1989",1
881,"1990",1
883,"1988",1
883,"1989",1
883,"1990",1
897,"1987",1
897,"1988",1
897,"1989",1
897,"1990",1
898,"1988",1
898,"1989",1
898,"1990",1
899,"1988",1
899,"1989",1
899,"1990",2
902,"1989",1
902,"1990",1
903,"1987",1
903,"1988",1
903,"1989",1
903,"1990",1
905,"1989",1
905,"1990",1
906,"1989",1
906,"1990",1
915,"1988",1
915,"1989",1
915,"1990",2
928,"1988",1
928,"1989",1
928,"1990",1
929,"1989",1
929,"1990",1
952,"1990",1
981,"1988",1
981,"1989",1
981,"1990",1
982,"1990",1
984,"1988",1
984,"1989",2
984,"1990",2
1022,"1988",1
1022,"1989",1
1022,"1990",1
1073,"1988",1
1073,"1989",1
1073,"1990",1
1077,"1988",1
1077,"1989",1
1077,"1990",1
1077,"1991",1
1088,"1987",1
1088,"1988",1
1088,"1989",1
1088,"1990",2
1092,"1988",1
1092,"1989",1
1092,"1990",1
1094,"1988",1
1094,"1989",1
1095,"1989",1
1095,"1990",1
1135,"1988",2
1135,"1989",1
1135,"1990",3
1135,"1991",2
1148,"1990",1
1151,"1990",1
1178,"1990",1
1178,"1991",1
1181,"1989",1
1181,"1990",1
1195,"1988",1
1195,"1989",1
1195,"1990",2
1196,"1989",1
1196,"1990",1
1207,"1988",1
1207,"1989",1
1207,"1990",1
1218,"1989",3
1218,"1990",3
1219,"1990",1
1220,"1990",1
1221,"1988",1
1221,"1989",1
1221,"1990",1
1224,"1988",1
1224,"1989",1
1224,"1990",1
1229,"1988",1
1229,"1989",1
1229,"1990",2
1232,"1987",1
1232,"1988",1
1232,"1989",1
1232,"1990",1
1232,"1991",1
1234,"1989",1
1234,"1990",1
1234,"1991",1
1251,"1988",1
1251,"1989",1
1251,"1990",2
1251,"1991",1
1251,"1992",2
1252,"1990",1
1252,"1991",1
1252,"1992",1
1253,"1988",1
1253,"1989",1
1253,"1990",1
1253,"1991",1
1253,"1992",1
1254,"1991",2
1254,"1992",1
1255,"1992",2
1257,"1990",2
1258,"1988",2
1258,"1989",2
1258,"1990",1
1258,"1992",1
1259,"1992",1
1260,"1989",1
1260,"1990",1
1260,"1992",1
1261,"1992",1
1262,"1990",2
1262,"1991",1
1263,"1992",1
1266,"1987",1
1266,"1988",1
1266,"1989",1
1266,"1990",1
1266,"1991",1
1266,"1992",1
1267,"1992",1
1269,"1992",1
1270,"1992",1
1271,"1988",1
1271,"1989",1
1271,"1990",1
1271,"1992",1
1273,"1988",1
1273,"1989",1
1273,"1990",1
1273,"1992",1
1278,"1991",1
1279,"1988",1
1279,"1989",1
1279,"1990",1
1279,"1991",1
1279,"1992",1
1284,"1991",1
1287,"1992",1
1288,"1989",1
1288,"1990",1
1288,"1992",1
1289,"1989",1
1289,"1990",2
1295,"1987",1
1295,"1988",1
1295,"1989",1
1295,"1990",1
1295,"1991",2
1295,"1992",3
1299,"1988",1
1299,"1989",3
1299,"1990",2
1299,"1991",3
1301,"1988",1
1301,"1989",1
1301,"1990",1
1304,"1988",1
1304,"1989",1
1304,"1990",1
1304,"1991",1
1304,"1992",1
1319,"1987",1
1319,"1988",2
1319,"1989",2
1319,"1990",2
1319,"1992",2
1320,"1992",1
1321,"1988",1
1321,"1989",1
1321,"1990",1
1321,"1992",2
1328,"1992",1
1332,"1987",1
1332,"1988",1
1332,"1989",1
1332,"1990",1
1352,"1992",1
1355,"1988",1
1355,"1989",2
1355,"1990",1
1355,"1991",1
1355,"1992",2
1361,"1992",1
1397,"1988",1
1397,"1989",1
1397,"1990",2
1417,"1990",1
1417,"1991",3
1417,"1992",3
1464,"1988",1
1464,"1989",1
1464,"1990",1
1464,"1992",1
1465,"1989",1
1465,"1990",2
1465,"1992",3
1466,"1992",1
1472,"1990",1
1472,"1992",1
1501,"1992",1
1503,"1991",1
1503,"1992",1
1516,"1987",1
1516,"1988",1
1516,"1989",1
1516,"1990",2
1516,"1991",2
1516,"1992",3
1517,"1989",1
1517,"1990",2
1517,"1992",3
1518,"1992",1
1519,"1992",1
1547,"1988",1
1547,"1989",1
1547,"1990",1
1547,"1992",1
1548,"1992",2
1555,"1992",2
1555,"1993",1
1556,"1992",1
1562,"1988",1
1562,"1989",1
1562,"1990",1
1562,"1992",2
1574,"1989",1
1574,"1990",2
1574,"1992",1
1575,"1992",1
1579,"1992",1
1585,"1992",2
1591,"1992",1
1617,"1992",2
1620,"1992",2
1621,"1992",2
1622,"1990",1
1622,"1991",1
1622,"1992",2
1623,"1992",1
1628,"1992",2
1636,"1987",1
1636,"1988",1
1636,"1989",1
1636,"1990",1
1636,"1992",1
1637,"1992",2
1638,"1992",2
1641,"1992",1
1654,"1989",1
1654,"1990",1
1654,"1991",1
1654,"1992",1
1655,"1990",1
1655,"1992",1
1661,"1993",3
1667,"1993",1
1672,"1993",1
1677,"1993",1
1680,"1993",1
1681,"1993",1
1683,"1993",2
1683,"1994",1
1684,"1992",1
1684,"1993",2
1688,"1992",1
1689,"1987",1
1689,"1988",1
1689,"1989",1
1689,"1990",3
1689,"1991",3
1689,"1992",2
1689,"1993",3
1693,"1988",1
1693,"1989",1
1693,"1990",2
1693,"1992",1
1693,"1993",2
1704,"1993",2
1727,"1992",1
1727,"1993",1
1740,"1990",1
1740,"1992",1
1740,"1993",2
1744,"1993",2
1748,"1992",1
1748,"1993",2
1751,"1994",1
1772,"1993",3
1830,"1993",3
1874,"1990",1
1874,"1993",3
1879,"1993",1
1883,"1993",2
1888,"1993",1
1890,"1987",1
1890,"1988",1
1890,"1989",1
1890,"1990",1
1890,"1992",1
1890,"1993",2
1891,"1993",1
1898,"1993",1
1906,"1988",1
1906,"1990",2
1906,"1992",2
1906,"1993",2
1907,"1993",1
1910,"1992",2
1910,"1993",2
1911,"1992",2
1911,"1993",2
1920,"1988",1
1920,"1989",1
1920,"1990",1
1920,"1992",2
1920,"1993",2
1935,"1987",2
1935,"1988",2
1935,"1989",2
1935,"1990",3
1935,"1991",3
1935,"1992",2
1935,"1993",2
1937,"1989",1
1937,"1990",1
1937,"1992",1
1937,"1993",1
1938,"1993",1
1941,"1992",2
1941,"1993",1
1944,"1989",1
1944,"1990",2
1944,"1992",3
1944,"1993",2
1945,"1993",2
1956,"1993",1
1956,"1994",2
1973,"1994",1
1978,"1994",2
1979,"1994",1
2059,"1994",1
2072,"1993",2
2072,"1994",2
2077,"1992",4
2077,"1993",2
2077,"1994",1
2098,"1989",1
2098,"1990",2
2098,"1992",2
2098,"1993",4
2098,"1994",1
2112,"1994",1
2119,"1989",1
2119,"1990",1
2119,"1991",1
2119,"1992",3
2135,"1994",1
2175,"1994",1
2227,"1990",2
2227,"1991",2
2227,"1992",2
2227,"1993",1
2227,"1994",2
2258,"1994",1
2284,"1994",2
2295,"1990",1
2295,"1992",1
2295,"1993",1
2295,"1994",1
2296,"1993",1
2296,"1994",1
2309,"1993",1
2309,"1994",1
2324,"1994",1
2336,"1994",1
2337,"1994",1
2338,"1993",1
2338,"1994",1
2341,"1994",1
2346,"1994",1
2358,"1994",1
2360,"1994",1
2367,"1993",1
2367,"1994",1
2368,"1994",2
2369,"1994",1
2370,"1994",2
2382,"1994",1
2386,"1993",3
2386,"1994",2
2387,"1993",2
2387,"1994",4
2388,"1992",2
2388,"1993",2
2388,"1994",1
2389,"1994",1
2390,"1994",2
2398,"1994",1
2409,"1992",3
2409,"1993",2
2409,"1994",1
2411,"1993",2
2411,"1994",1
2412,"1994",2
2414,"1994",2
2421,"1994",1
2422,"1994",1
2427,"1993",1
2427,"1994",2
2428,"1994",1
2429,"1994",2
2443,"1994",2
2452,"1993",1
2452,"1994",2
2453,"1992",1
2453,"1993",2
2453,"1994",1
2464,"1994",1
2467,"1994",1
2468,"1994",1
2469,"1994",2
2470,"1994",3
2475,"1992",2
2475,"1993",2
2475,"1994",1
2476,"1993",2
2476,"1994",1
2477,"1992",1
2477,"1993",3
2477,"1994",2
2478,"1993",2
2478,"1994",1
2479,"1993",1
2479,"1994",1
2483,"1994",1
2484,"1994",1
2484,"1995",1
2486,"1994",1
2487,"1992",2
2487,"1993",2
2487,"1994",2
2488,"1994",1
2489,"1994",1
2490,"1993",1
2491,"1994",1
2492,"1994",1
2493,"1993",1
2493,"1994",1
2495,"1994",1
2501,"1993",1
2501,"1994",1
2503,"1994",1
2503,"1995",1
2504,"1995",1
2507,"1993",1
2507,"1994",1
2507,"1995",2
2508,"1994",1
2508,"1995",1
2510,"1994",1
2510,"1995",1
2513,"1993",1
2513,"1994",1
2513,"1995",4
2517,"1994",1
2517,"1995",1
2519,"1993",3
2519,"1994",2
2519,"1995",2
2525,"1993",4
2525,"1994",1
2525,"1995",1
2526,"1993",1
2526,"1994",1
2526,"1995",1
2527,"1993",1
2527,"1994",1
2527,"1995",1
2528,"1994",1
2528,"1995",2
2529,"1993",1
2529,"1994",3
2529,"1995",3
2533,"1992",2
2533,"1993",2
2533,"1994",1
2533,"1995",2
2534,"1994",1
2534,"1995",1
2541,"1994",1
2541,"1995",1
2542,"1995",2
2544,"1992",1
2544,"1993",2
2544,"1994",1
2544,"1995",2
2566,"1994",1
2566,"1995",2
2576,"1990",1
2576,"1992",1
2576,"1993",1
2576,"1994",1
2576,"1995",1
2580,"1994",2
2580,"1995",2
2583,"1993",2
2583,"1994",1
2583,"1995",1
2595,"1993",2
2595,"1994",2
2595,"1995",2
2599,"1995",2
2600,"1993",1
2600,"1994",1
2600,"1995",1
2603,"1994",1
2622,"1994",2
2622,"1995",1
2638,"1995",1
2642,"1994",1
2652,"1995",2
2660,"1993",1
2660,"1994",1
2660,"1995",2
2667,"1994",2
2667,"1995",4
2672,"1993",1
2672,"1994",1
2672,"1995",1
2676,"1994",1
2676,"1995",3
2677,"1995",1
2681,"1994",2
2681,"1995",2
2683,"1993",2
2683,"1994",1
2683,"1995",1
2693,"1994",2
2693,"1995",1
2697,"1992",1
2697,"1993",1
2697,"1994",1
2697,"1995",2
2710,"1994",1
2710,"1995",1
2713,"1994",2
2713,"1995",1
2755,"1989",1
2755,"1990",2
2755,"1992",2
2755,"1993",2
2755,"1994",2
2755,"1995",2
2756,"1993",2
2756,"1994",1
2756,"1995",1
2757,"1993",2
2757,"1994",2
2757,"1995",1
2771,"1993",2
2771,"1994",1
2771,"1995",1
2776,"1993",2
2776,"1994",1
2776,"1995",2
2787,"1994",2
2787,"1995",2
2788,"1993",2
2788,"1994",1
2788,"1995",2
2788,"1996",2
2789,"1993",1
2789,"1994",1
2789,"1995",1
2791,"1994",1
2791,"1995",1
2826,"1994",3
2826,"1995",1
2858,"1996",1
2878,"1996",1
2906,"1994",1
2906,"1995",3
2906,"1996",1
2918,"1995",2
2918,"1996",2
2937,"1993",2
2937,"1994",1
2937,"1995",1
2937,"1996",1
2945,"1995",1
2950,"1996",1
2966,"1994",4
2966,"1995",1
2966,"1996",1
2982,"1994",1
2982,"1995",1
2982,"1996",1
3014,"1996",1
3030,"1996",1
3042,"1996",1
3053,"1996",2
3074,"1996",1
3102,"1995",3
3103,"1996",1
3116,"1994",2
3116,"1995",2
3116,"1996",1
3117,"1996",1
3126,"1994",1
3126,"1995",1
3133,"1996",1
3159,"1993",2
3159,"1994",2
3159,"1995",1
3159,"1996",1
3160,"1992",2
3160,"1993",2
3160,"1994",1
3160,"1995",2
3160,"1996",3
3161,"1993",4
3161,"1994",2
3161,"1995",2
3161,"1996",2
3168,"1992",1
3168,"1993",2
3168,"1994",2
3168,"1995",3
3168,"1996",1
3211,"1996",1
3212,"1994",1
3212,"1995",1
3212,"1996",1
3215,"1994",2
3215,"1995",1
3215,"1996",1
3222,"1996",1
3230,"1996",1
3244,"1996",1
3245,"1994",1
3245,"1995",1
3245,"1996",1
3246,"1996",1
3247,"1996",1
3248,"1996",2
3248,"1997",1
3259,"1994",1
3259,"1995",1
3259,"1996",1
3277,"1997",2
3283,"1997",1
3300,"1997",1
3305,"1994",1
3305,"1995",2
3305,"1996",1
3305,"1997",1
3307,"1997",2
3334,"1994",1
3334,"1995",1
3334,"1996",1
3334,"1997",1
3335,"1994",2
3335,"1995",3
3335,"1996",2
3335,"1997",2
3342,"1994",1
3347,"1994",2
3347,"1995",1
3347,"1997",4
3347,"1998",2
3388,"1994",3
3388,"1995",2
3388,"1996",1
3388,"1997",1
3399,"1997",1
3405,"1994",1
3405,"1995",1
3405,"1996",1
3405,"1997",1
3420,"1994",1
3420,"1995",4
3420,"1996",1
3420,"1997",1
3423,"1994",1
3423,"1995",3
3423,"1996",2
3423,"1997",2
3426,"1997",3
3441,"1996",1
3441,"1997",4
3443,"1994",1
3443,"1995",2
3444,"1993",1
3444,"1994",1
3444,"1995",1
3466,"1992",1
3466,"1993",2
3466,"1994",2
3466,"1995",1
3466,"1996",1
3466,"1997",1
3477,"1998",1
3482,"1993",3
3482,"1994",2
3482,"1995",1
3482,"1996",2
3482,"1997",1
3489,"1992",1
3489,"1993",1
3489,"1994",1
3489,"1995",2
3489,"1996",3
3489,"1997",3
3491,"1996",2
3491,"1997",2
3496,"1993",1
3496,"1994",1
3496,"1995",1
3496,"1996",1
3496,"1997",1
3498,"1994",2
3498,"1995",1
3498,"1996",1
3498,"1997",1
3500,"1996",1
3501,"1996",2
3501,"1997",1
3502,"1998",1
3503,"1994",2
3503,"1995",1
3503,"1997",1
3503,"1998",1
3505,"1998",1
3506,"1993",1
3506,"1994",1
3506,"1995",1
3506,"1996",1
3506,"1997",1
3506,"1998",1
3507,"1993",1
3507,"1994",1
3507,"1995",1
3507,"1996",1
3507,"1997",1
3507,"1998",2
3508,"1998",1
3509,"1998",1
3510,"1996",1
3510,"1997",1
3510,"1998",1
3521,"1993",1
3521,"1994",1
3521,"1995",1
3521,"1996",1
3521,"1997",1
3521,"1998",1
3522,"1996",1
3522,"1997",1
3524,"1995",2
3524,"1996",2
3524,"1997",1
3524,"1998",2
3525,"1993",1
3525,"1994",2
3525,"1995",1
3525,"1996",3
3525,"1997",2
3526,"1995",1
3526,"1996",2
3526,"1997",2
3536,"1998",1
3543,"1998",1
3557,"1993",1
3557,"1994",2
3557,"1995",2
3557,"1996",1
3557,"1998",1
3567,"1998",1
3572,"1998",1
3577,"1998",2
3580,"1998",1
3598,"1996",2
3598,"1997",2
3598,"1998",2
3604,"1996",3
3604,"1997",3
3604,"1998",2
3606,"1998",1
3609,"1996",2
3609,"1997",2
3609,"1998",1
3611,"1993",2
3611,"1994",1
3611,"1995",1
3611,"1998",1
3616,"1995",1
3616,"1996",1
3616,"1997",1
3616,"1998",1
3618,"1992",1
3618,"1993",2
3618,"1994",1
3618,"1995",3
3618,"1996",2
3618,"1997",4
3618,"1998",1
3621,"1994",1
3633,"1998",1
3642,"1998",1
3647,"1993",4
3647,"1994",2
3647,"1995",4
3647,"1996",1
3647,"1997",3
3647,"1998",2
3660,"1996",2
3660,"1997",3
3660,"1998",2
3672,"1998",1
3674,"1995",2
3674,"1996",1
3674,"1997",2
3674,"1998",2
3675,"1998",1
3687,"1998",2
3700,"1994",2
3700,"1995",3
3700,"1996",1
3700,"1997",2
3700,"1998",1
3703,"1996",1
3703,"1997",2
3703,"1998",1
3709,"1994",2
3709,"1995",4
3709,"1996",3
3709,"1997",2
3709,"1998",1
3716,"1994",1
3716,"1995",2
3716,"1996",2
3716,"1998",2
3717,"1996",1
3717,"1997",4
3717,"1998",2
3718,"1996",1
3718,"1997",1
3718,"1998",1
3719,"1994",1
3719,"1997",2
3719,"1998",1
3720,"1994",1
3720,"1995",1
3720,"1996",1
3720,"1997",1
3720,"1998",1
3721,"1996",3
3721,"1997",3
3721,"1998",2
3749,"1995",1
3749,"1996",1
3749,"1997",1
3749,"1998",1
3750,"1993",2
3750,"1994",1
3750,"1995",1
3750,"1996",1
3750,"1997",1
3750,"1998",1
3751,"1998",1
3769,"1998",2
3777,"1997",1
3777,"1998",1
3783,"1994",1
3783,"1995",3
3783,"1996",2
3783,"1997",2
3783,"1998",2
3789,"1998",1
3794,"1997",1
3794,"1998",2
3795,"1997",1
3795,"1998",1
3801,"1996",1
3801,"1997",1
3801,"1998",1
3811,"1994",2
3811,"1995",3
3811,"1996",2
3811,"1997",3
3811,"1998",3
3820,"1994",1
3820,"1995",1
3820,"1996",1
3820,"1997",2
3820,"1998",1
3898,"1999",1
3899,"1998",1
3927,"1996",1
3927,"1997",1
3927,"1998",1
4076,"1998",1
4077,"1998",3
4077,"1999",2
4078,"1996",3
4078,"1997",2
4078,"1998",3
4078,"1999",1
4091,"1996",1
4091,"1997",1
4091,"1998",1
4091,"1999",2
4097,"2002",1
4108,"1992",1
4108,"1993",1
4108,"1994",1
4108,"1995",2
4108,"1996",2
4108,"1998",1
4108,"1999",1
4109,"1999",1
4112,"1999",1
4114,"1998",1
4114,"1999",1
4115,"1999",1
4125,"1999",1
4126,"1999",2
4128,"1999",1
4131,"1999",1
4132,"1999",1
4133,"1999",1
4134,"1997",2
4134,"1998",1
4134,"1999",3
4144,"1999",1
4149,"1999",1
4154,"1996",1
4154,"1997",1
4154,"1998",1
4154,"1999",2
4156,"1999",1
4157,"1999",1
4162,"1999",2
4167,"1999",1
4168,"1999",1
4187,"1996",2
4187,"1997",1
4187,"1998",1
4187,"1999",1
4188,"1999",1
4204,"1994",1
4204,"1995",2
4204,"1996",2
4204,"1997",1
4204,"1998",2
4204,"1999",1
4210,"1999",2
4217,"1999",4
4227,"1996",2
4227,"1997",2
4227,"1998",3
4227,"1999",1
4235,"1996",1
4235,"1997",1
4235,"1998",1
4236,"1999",1
4244,"1996",1
4244,"1997",3
