"grid","census_date","year","reflo","locx","locy","squirrel_id"
"SU",2013-05-15,2013,"E.1.","E.3","1.5",10654
"SU",2013-05-15,2013,"P5","P.3","5.0",10655
"SU",2013-05-15,2013,"C18","B.8","18.1",10918
"SU",2013-05-15,2013,"D.17.","D.4","17.1",11002
"SU",2013-05-15,2013,"B7.","B.2","7.6",11434
"SU",2013-05-15,2013,"C.4","C.4","4.0",11576
"SU",2013-05-15,2013,"G.14.","G.5","14.5",11578
"SU",2013-05-15,2013,"P3","O.9","3.0",11722
"SU",2013-05-15,2013,"T6","T.1","6.0",11946
"KL",2013-05-15,2013,"-2.13","-2.5","12.9",12830
"KL",2013-05-15,2013,"05","0.0","5.0",12576
"KL",2013-05-15,2013,"-711","-7.0","11.0",12209
"KL",2013-05-15,2013,"-512","-5.0","12.0",12564
"KL",2013-05-15,2013,"-310","-3.0","10.0",12565
"KL",2013-05-15,2013,"-27","-2.0","6.7",12018
"KL",2013-05-15,2013,"B.10.","B.6","10.5",12678
"KL",2013-05-15,2013,"C13","C.0","13.0",12007
"KL",2013-05-15,2013,"B15.","B.1","15.5",10047
"KL",2013-05-15,2013,"-812","-8.0","12.1",12626
"KL",2013-05-15,2013,"C.19","C.5","19.0",12908
"KL",2013-05-15,2013,"E14.","E.0","14.6",12705
"KL",2013-05-15,2013,"-8.12","-8.5","12.0",11614
"KL",2013-05-15,2013,"E11","D.9","10.9",12236
"KL",2013-05-15,2013,"G10.","G.1","10.5",11266
"KL",2013-05-15,2013,"H15","H.0","15.0",12363
"KL",2013-05-15,2013,"-8.12.","-8.8","12.8",12835
"KL",2013-05-15,2013,"J11","J.1","11.0",12364
"KL",2013-05-15,2013,"J.19","J.7","19.0",11983
"KL",2013-05-15,2013,"K.17","K.8","17.0",13125
"KL",2013-05-15,2013,"-7.6","-7.5","6.2",13445
"KL",2013-05-15,2013,"M.15","M.7","14.9",12542
"KL",2013-05-15,2013,"N8.","N.0","8.7",13179
"KL",2013-05-15,2013,"-66","-6.4","6.3",12137
"KL",2013-05-15,2013,"N1.","N.1","1.3",11945
"KL",2013-05-15,2013,"O1","O.0","1.0",12933
"KL",2013-05-15,2013,"-53","-4.9","3.3",13366
"KL",2013-05-15,2013,"-7.9","-7.5","9.2",12613
"KL",2013-05-15,2013,"G3.","G.0","3.5",13039
"KL",2013-05-15,2013,"G5","G.0","5.0",12825
"KL",2013-05-15,2013,"H.3.","H.7","3.4",11460
"KL",2013-05-15,2013,"I5","I.2","4.9",12445
"KL",2013-05-15,2013,"K6","K.0","6.2",12657
"KL",2013-05-15,2013,"E1","E.0","1.3",12017
"KL",2013-05-15,2013,"C2.","C.0","2.5",13048
"SU",2013-05-15,2013,"K3","K.0","3.1",11952
"SU",2013-05-15,2013,"O2.","O.1","2.3",11953
"SU",2013-05-15,2013,"A19","A.2","19.0",11963
"SU",2013-05-15,2013,"B.1","B.5","1.2",11976
"SU",2013-05-15,2013,"K.8.","K.7","8.4",11979
"SU",2013-05-15,2013,"R.2","R.5","2.0",11981
"SU",2013-05-15,2013,"S8","S.0","7.9",12479
"KL",2013-05-15,2013,"F.21","G.1","21.3",12008
"KL",2013-05-15,2013,"M10","M.1","10.1",10374
"KL",2013-05-15,2013,"J.9","J.2","9.0",12513
"KL",2013-05-15,2013,"G.2","G.3","2.0",10342
"KL",2013-05-15,2013,"I.16","I.6","16.0",12136
"KL",2013-05-15,2013,"D7","D.0","7.0",12422
"KL",2013-05-15,2013,"H9","G.8","9.0",12303
"KL",2013-05-15,2013,"G20.","F.7","20.5",12495
"KL",2013-05-15,2013,"G.18","G.5","17.9",12202
"KL",2013-05-15,2013,"P1","P.1","0.5",11897
"KL",2013-05-15,2013,"F8","F.2","8.0",19257
"KL",2013-05-15,2013,"I2.","I.1","2.6",13012
"KL",2013-05-15,2013,"H6","H.3","6.2",12305
"KL",2013-05-15,2013,"M.8","M.6","7.9",12625
"KL",2013-05-15,2013,"O.2","O.5","2.0",11896
"KL",2013-05-15,2013,"I11","H.8","10.9",12703
"KL",2013-05-15,2013,"-2.4.","-2.6","4.5",12190
"KL",2013-05-15,2013,"-611","-5.9","11.3",13123
"KL",2013-05-15,2013,"-114.","-1.0","14.5",12014
"KL",2013-05-15,2013,"-4.13","-4.1","13.3",12744
"KL",2013-05-15,2013,"-0.12","-0.3","12.0",12827
"KL",2013-05-15,2013,"-1.1.","-1.6","1.5",12664
"KL",2013-05-15,2013,"-38","-3.0","8.0",11619
"KL",2013-05-15,2013,"-4.10","-4.6","10.0",12629
"KL",2013-05-15,2013,"-610","-6.2","9.8",12628
"KL",2013-05-15,2013,"A8","A.0","8.0",12199
"KL",2013-05-15,2013,"B.5.","B.4","5.5",11775
"KL",2013-05-15,2013,"C.0.","C.8","0.6",13010
"KL",2013-05-15,2013,"C12","C.2","12.0",11841
"KL",2013-05-15,2013,"C8.","C.0","8.3",12423
"KL",2013-05-15,2013,"D.5.","D.5","5.6",11256
"KL",2013-05-15,2013,"E3.","E.0","3.5",13185
"KL",2013-05-15,2013,"F17","F.0","17.0",11272
"KL",2013-05-15,2013,"F18.","F.0","18.6",11621
"KL",2013-05-15,2013,"F6.","F.0","6.5",10531
"KL",2013-05-15,2013,"I.2","I.5","1.8",10995
"KL",2013-05-15,2013,"I.20.","I.6","20.3",11883
"KL",2013-05-15,2013,"J1","J.0","1.0",13535
"KL",2013-05-15,2013,"J.20.","J.5","20.5",11344
"KL",2013-05-15,2013,"K.0.","K.5","0.5",10993
"KL",2013-05-15,2013,"L.1","L.5","0.9",13499
"KL",2013-05-15,2013,"0.2.","0.4","2.6",10046
"KL",2013-05-15,2013,"C.17","C.6","16.9",12745
"KL",2013-05-15,2013,"F3","E.7","2.8",10318
"KL",2013-05-15,2013,"M.12.","M.6","12.4",11957
"KL",2013-05-15,2013,"M7","L.9","7.1",13305
"KL",2013-05-15,2013,"N6","N.0","6.0",12012
"KL",2013-05-15,2013,"O.2.","O.3","2.5",11537
"KL",2013-05-15,2013,"O6","O.5","6.4",13112
"SU",2013-05-15,2013,"T3","T.1","3.0",11531
"SU",2013-05-15,2013,"B.3","B.3","3.0",11534
"SU",2013-05-15,2013,"B.10.","B.6","10.7",11577
"SU",2013-05-15,2013,"U1","U.0","1.2",11943
"SU",2013-05-15,2013,"E11.","E.0","11.5",11998
"SU",2013-05-15,2013,"T.7.","T.5","7.5",11999
"SU",2013-05-15,2013,"D2","D.1","2.1",12003
"SU",2013-05-15,2013,"C.6.","C.7","6.4",10878
"SU",2013-05-15,2013,"B15.","B.0","15.5",12024
"SU",2013-05-15,2013,"J.10.","J.7","10.9",12025
"SU",2013-05-15,2013,"N7.","M.9","7.5",12026
"SU",2013-05-15,2013,"D15","D.1","14.8",12027
"SU",2013-05-15,2013,"-0.5.","-0.5","5.5",12028
"SU",2013-05-15,2013,"C12","C.2","11.9",12029
"SU",2013-05-15,2013,"G8","F.9","8.1",12033
"SU",2013-05-15,2013,"M4.","M.0","4.5",12139
"SU",2013-05-15,2013,"R4","R.0","4.0",12140
"SU",2013-05-15,2013,"-4.5","-4.5","5.0",12165
"SU",2013-05-15,2013,"K.15","K.4","15.0",12180
"SU",2013-05-15,2013,"I16","I.0","16.0",12191
"SU",2013-05-15,2013,"-2.19","-2.5","19.0",12194
"SU",2013-05-15,2013,"0.3","0.5","3.0",12419
"SU",2013-05-15,2013,"O11","O.0","11.0",12432
"SU",2013-05-15,2013,"Q11","Q.1","10.8",12434
"SU",2013-05-15,2013,"H.12","H.5","12.0",12435
"SU",2013-05-15,2013,"-13","-1.0","3.0",12462
"SU",2013-05-15,2013,"E3.","E.1","3.4",12522
"SU",2013-05-15,2013,"H.10.","H.5","10.5",12524
"SU",2013-05-15,2013,"I14.","I.0","14.5",12550
"SU",2013-05-15,2013,"0.17.","0.7","17.7",12973
"SU",2013-05-15,2013,"S4","S.0","4.0",13000
"SU",2013-05-15,2013,"I.6","I.5","6.1",13085
"SU",2013-05-15,2013,"-2.6","-2.4","6.1",13092
"SU",2013-05-15,2013,"-117","-0.9","17.0",13095
"SU",2013-05-15,2013,"G5.","G.2","5.5",13096
"SU",2013-05-15,2013,"H.9.","H.5","9.6",13097
"SU",2013-05-15,2013,"N5.","N.0","5.5",13129
"SU",2013-05-15,2013,"H4","H.2","4.0",13130
"SU",2013-05-15,2013,"M2","M.1","2.0",13131
"SU",2013-05-15,2013,"D7","C.8","7.0",11996
"SU",2013-05-15,2013,"L.12","L.5","12.0",13385
"SU",2013-05-15,2013,"-315.","-3.0","15.5",13132
"SU",2013-05-15,2013,"U.7","U.5","7.0",13135
"SU",2013-05-15,2013,"Q7","Q.3","7.0",8775
"SU",2013-05-15,2013,"E.6","E.3","6.2",10048
"SU",2013-05-15,2013,"K6.","K.0","6.5",19267
"SU",2013-05-15,2013,"L10.","L.0","10.5",10043
"SU",2013-05-15,2013,"I2.","I.3","2.3",13667
"SU",2013-05-15,2013,"G3","G.0","2.8",13690
"SU",2013-05-15,2013,"B6","A.8","5.7",10037
"KL",2013-05-15,2013,"E14.","E.0","14.6",13332
"KL",2013-05-15,2013,"G1","F.9","1.0",11220
"KL",2013-05-15,2013,"F1","F.0","0.7",12285
"KL",2013-05-15,2013,"F1","F.0","0.7",13288
"KL",2013-05-15,2013,"L11","K.6","10.5",12006
"KL",2012-05-15,2012,"H6","H.3","6.2",10042
"KL",2012-05-15,2012,"0.2.","0.4","2.6",10046
"KL",2012-05-15,2012,"B15.","B.1","15.5",10047
"KL",2012-05-15,2012,"F3","E.7","2.8",10318
"KL",2012-05-15,2012,"G.1.","G.3","1.5",10342
"KL",2012-05-15,2012,"M10","M.1","10.1",10374
"KL",2012-05-15,2012,"F6.","F.0","6.5",10531
"KL",2012-05-15,2012,"-712","-7.0","12.0",10818
"KL",2012-05-15,2012,"K.0.","K.5","0.5",10993
"KL",2012-05-15,2012,"L.1","L.5","0.9",10994
"KL",2012-05-15,2012,"I.2","I.5","1.8",10995
"KL",2012-05-15,2012,"H1","H.0","0.8",11220
"KL",2012-05-15,2012,"D.5.","D.5","5.6",11256
"KL",2012-05-15,2012,"G.10.","G.1","10.5",11266
"KL",2012-05-15,2012,"J1","J.0","1.0",11282
"KL",2012-05-15,2012,"J.20.","J.5","20.5",11344
"KL",2012-05-15,2012,"H.3.","H.7","3.4",11460
"KL",2012-05-15,2012,"N.2.","N.4","2.4",11489
"KL",2012-05-15,2012,"O.2.","O.3","2.5",11537
"KL",2012-05-15,2012,"-8.11","-8.5","11.0",11614
"KL",2012-05-15,2012,"-38","-3.0","8.0",11619
"KL",2012-05-15,2012,"F18.","F.0","18.6",11621
"KL",2012-05-15,2012,"A.3.","A.3","3.5",11622
"KL",2012-05-15,2012,"-6.6.","-6.4","6.5",11625
"KL",2012-05-15,2012,"B.5.","B.4","5.5",11775
"KL",2012-05-15,2012,"C12","C.2","12.0",11841
"KL",2012-05-15,2012,"I.20.","I.6","20.3",11883
"KL",2012-05-15,2012,"O.2","O.5","2.0",11896
"KL",2012-05-15,2012,"P1","P.1","0.5",11897
"KL",2012-05-15,2012,"M.12.","M.6","12.4",11957
"KL",2012-05-15,2012,"J.19","J.7","19.0",11983
"KL",2012-05-15,2012,"L11","K.6","10.5",12006
"KL",2012-05-15,2012,"C13","C.0","13.0",12007
"KL",2012-05-15,2012,"F.21","G.1","21.3",12008
"KL",2012-05-15,2012,"N6","N.0","6.0",12012
"KL",2012-05-15,2012,"G.18","G.5","17.9",12013
"KL",2012-05-15,2012,"-215","-2.0","15.0",12014
"KL",2012-05-15,2012,"-6.6.","-6.4","6.5",12015
"KL",2012-05-15,2012,"E1","E.0","1.3",12017
"KL",2012-05-15,2012,"-27","-2.0","6.7",12018
"KL",2012-05-15,2012,"A5.","A.0","5.5",12019
"KL",2012-05-15,2012,"E14.","E.0","14.6",12036
"KL",2012-05-15,2012,"I.15.","I.4","15.7",12136
"KL",2012-05-15,2012,"-77","-7.0","7.0",12137
"KL",2012-05-15,2012,"-2.4.","-2.6","4.5",12190
"KL",2012-05-15,2012,"F8","F.2","8.0",12305
"KL",2012-05-15,2012,"H15","H.0","15.0",12363
"KL",2012-05-15,2012,"J11","J.1","11.0",12364
"KL",2012-05-15,2012,"D7","D.0","7.0",12422
"KL",2012-05-15,2012,"C8.","C.0","8.3",12423
"KL",2012-05-15,2012,"I5","I.2","4.9",12445
"KL",2012-05-15,2012,"G20.","F.7","20.5",12495
"KL",2012-05-15,2012,"J.9","J.2","9.0",12513
"KL",2012-05-15,2012,"L.15","L.6","15.0",12542
"KL",2012-05-15,2012,"-512","-5.0","12.0",12564
"KL",2012-05-15,2012,"-310","-3.0","10.0",12565
"KL",2012-05-15,2012,"05.","0.1","5.5",12576
"KL",2012-05-15,2012,"-59","-5.0","9.0",12611
"KL",2012-05-15,2012,"-6.8","-6.5","8.0",12613
"KL",2012-05-15,2012,"-79","-7.0","9.0",12613
"KL",2012-05-15,2012,"-63","-6.0","3.0",12620
"KL",2012-05-15,2012,"-53","-4.9","3.3",12623
"KL",2012-05-15,2012,"N9","M.5","7.8",12625
"KL",2012-05-15,2012,"-811","-8.0","11.0",12626
"KL",2012-05-15,2012,"-410","-4.5","10.5",12629
"KL",2012-05-15,2012,"P9","P.0","9.0",12653
