"sex","snow","repro_stage","year_type","mean_distance","median_distance","sd_distance","max_distance","total_observations","observations_on_midden"
"F","no snow","MATING","mast",15.846265520091,10.816653826392,13.7176282626885,49.6588360717406,152,34
"F","no snow","MATING","post-mast",5.99999999999998,5.99999999999998,NA,5.99999999999998,1,0
"F","no snow","MATING","non-mast",15.5475021459919,10.816653826392,12.4868202742246,51.3517283058711,51,9
"F","no snow","LACTATING","mast",33.7947492594249,36.2491379207837,15.5607774727009,51.2640224719052,41,0
"F","no snow","LACTATING","post-mast",12.3530293914953,9.24341649025257,10.9795976263011,45.7930125674213,44,9
"F","no snow","LACTATING","non-mast",16.633585593656,12.7279220613579,12.6895706582428,51.6139516022558,164,26
"F","snow","MATING","mast",15.9689220995969,10.816653826392,14.4333643317772,49.2036584005702,71,17
"F","snow","MATING","post-mast",13.1690082799925,10.1517434034486,10.5782873404498,46.6690475583121,170,38
"F","snow","MATING","non-mast",11.7682974954979,9.48683298050513,11.259311600296,50.2891638427206,169,54
"F","snow","LACTATING","post-mast",10.4298269520211,9.24341649025257,10.0375761030612,39,22,5
"F","snow","LACTATING","non-mast",4.4142135623731,4.24264068711931,1.50734134775178,6,3,2
"M","no snow","MATING","mast",14.0831148516979,10.816653826392,12.2046483878649,48.4664832642105,52,13
"M","no snow","MATING","post-mast",12.6782255488258,13.6846584384265,6.1249584749386,21.2132034355964,6,1
"M","no snow","MATING","non-mast",15.5321331416631,10.816653826392,13.49818043562,51.6139516022558,25,5
"M","no snow","LACTATING","mast",14.1944306193404,12.7279220613578,7.0994420465619,39.1152144312159,31,1
"M","no snow","LACTATING","post-mast",13.4647288757263,12.369316876853,6.20656404864876,36.6196668472011,281,13
"M","no snow","LACTATING","non-mast",14.7399098146282,10.816653826392,12.1753121936526,51.6139516022558,233,37
"M","snow","MATING","mast",9.71591969413188,8.48528137423858,6.81089867190784,51.2640224719052,418,93
"M","snow","MATING","post-mast",15.3780589349503,15,9.12009742890217,51.2640224719052,545,67
"M","snow","MATING","non-mast",11.1914527627237,8.48528137423854,10.0194035322577,51.3517283058711,426,115
"M","snow","LACTATING","post-mast",14.7160592653979,15,9.69189101356511,51.0881590977792,117,14
"M","snow","LACTATING","non-mast",7.22353968812991,6.70820393249935,6.69366309295578,30,143,58
