"sex","snow","repro_stage","year_type","mean_distance","median_distance","sd_distance","max_distance","total_observations","observations_on_midden"
"F","no snow","MATING","mast",19.8746267134122,16.1554944214035,12.9854972141994,49.6588360717406,118,0
"F","no snow","MATING","non-mast",18.2485078112225,15,12.1451209031903,51.3517283058711,42,0
"F","no snow","MATING","post-mast",5.99999999999998,5.99999999999998,NA,5.99999999999998,1,0
"F","no snow","LACTATING","mast",33.7947492594249,36.2491379207837,15.5607774727009,51.2640224719052,41,0
"F","no snow","LACTATING","non-mast",19.31684254475,15.2970585407784,12.0505698402332,51.6139516022558,138,0
"F","no snow","LACTATING","post-mast",15.151161501105,9.48683298050516,10.597558932104,45.7930125674213,35,0
"F","snow","MATING","mast",20.1454137698968,12.5486194691054,14.1373080742966,49.2036584005702,54,0
"F","snow","MATING","non-mast",16.3928106885291,12.7279220613579,10.8541818842694,50.2891638427206,115,0
"F","snow","MATING","post-mast",16.1880281769188,12.369316876853,10.1263401428101,46.6690475583121,132,0
"F","snow","LACTATING","non-mast",6,6,NA,6,1,0
"F","snow","LACTATING","post-mast",13.4974231143803,9.48683298050514,9.39392316079147,39,17,0
"M","no snow","MATING","mast",18.0665141083829,15,11.5638293271605,48.4664832642105,39,0
"M","no snow","MATING","non-mast",18.6909023583669,12.908326913196,13.3041413825286,51.6139516022558,20,0
"M","no snow","MATING","post-mast",14.6138706585909,15,4.33514480351805,21.2132034355964,5,0
"M","no snow","LACTATING","mast",14.5675783066517,13.0721649631782,6.90469572449301,39.1152144312159,30,0
"M","no snow","LACTATING","non-mast",17.0790168294028,12.7279220613579,11.8793525014843,51.6139516022558,196,0
"M","no snow","LACTATING","post-mast",13.9622773480196,12.7279220613579,5.90933034124095,36.6196668472011,268,0
"M","snow","MATING","mast",11.5786569947327,9.48683298050514,6.6004905855963,51.2640224719052,325,0
"M","snow","MATING","non-mast",14.3756392674727,10.816653826392,9.9466398358726,51.3517283058711,311,0
"M","snow","MATING","post-mast",17.1662372044857,15.2970585407784,8.27046771945412,51.2640224719052,478,0
"M","snow","LACTATING","non-mast",11.4562636378647,10.816653826392,5.39299809947358,30,85,0
"M","snow","LACTATING","post-mast",16.340586885842,15.2970585407784,9.17075364325802,51.0881590977792,103,0
